candidate_id,model_id,model_family,protocol,split_id,seed,fold,paper_id,roc_auc,pr_auc,brier,mcc,f1,balanced_accuracy,sensitivity,specificity,precision
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1080/00102209108951711,,,1.3365308859647484e-11,0.0,1.0,1.0,1.0,,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/s1540-7489(02)80211-3,1.0,1.0,0.10178527541415155,0.6324555320336759,0.6666666666666666,0.75,0.5,1.0,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::grayson g d k r sacksteder p v ferkul and j s t ien flame spreading over a thin solid in low speed concurrent flow drop tower experimental results and comparison with theory 0 science and technology vii 2 1994,1.0,1.0,0.16991271120716278,0.6123724356957946,0.8571428571428571,0.875,0.75,1.0,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.firesaf.2024.104329,0.7640067911714771,0.8771345365018424,0.22285439812713218,0.5280135823429541,0.72,0.7640067911714771,0.5806451612903226,0.9473684210526315,0.9473684210526315
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s10694-019-00935-4,0.7571428571428571,0.8375929625929627,0.22663684304878814,0.4640954808922571,0.5714285714285714,0.7,0.4,1.0,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/s0010-2180(00)00249-2,,,0.056476132045052294,0.0,0.9411764705882353,0.8888888888888888,0.8888888888888888,,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2024.105766,,,0.0,0.0,1.0,1.0,1.0,,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/s1540-7489(02)80315-7,,,2.1830725671634355e-08,0.0,1.0,1.0,1.0,,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.actaastro.2017.10.019,,,0.0011266199037136865,0.0,1.0,1.0,1.0,,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2024.105255,1.0,1.0,0.04701493380876376,1.0,1.0,1.0,1.0,1.0,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2020.05.005,1.0,1.0,0.13642450168639375,0.4879500364742666,0.8333333333333334,0.8571428571428572,0.7142857142857143,1.0,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.2514/6.2012-3492,0.22222222222222224,0.4444444444444445,0.6907809945895168,-0.7071067811865476,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s10694-019-00896-8,,,0.0003620793130364082,0.0,1.0,1.0,1.0,,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/s0082-0784(06)80816-7,0.36363636363636365,0.9254656959202414,0.08364639478211089,0.0,0.9565217391304348,0.5,1.0,0.0,0.9166666666666666
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/s0010-2180(99)00084-x,,,1.2203046590997246e-06,0.0,1.0,1.0,1.0,,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2024.105775,,,3.0960995125248947e-07,0.0,1.0,1.0,1.0,,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1080/00102200490276773,,,1.7251331676313632e-10,0.0,1.0,1.0,1.0,,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.combustflame.2020.07.044,,,3.1337192906300476e-07,0.0,1.0,1.0,1.0,,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2014.07.017,0.9285714285714285,0.9759019125914626,0.09745791641241545,0.6925328744784331,0.918918918918919,0.8293650793650793,0.9444444444444444,0.7142857142857143,0.8947368421052632
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2018.06.022,,,0.04128510330167117,0.0,0.9795918367346939,0.96,0.96,,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.combustflame.2013.03.029,,,0.011703315346057508,0.0,1.0,1.0,1.0,,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2022.07.002,0.9083333333333333,0.9734146538506743,0.14437708718347092,0.5003702332976756,0.8484848484848485,0.788888888888889,0.7777777777777778,0.8,0.9333333333333333
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::andracchio charles r and thomas h cochran gravity effects on flame spreading over solid surfaces nasa technical note d 8228 national aeronautics and space administration may 1976,0.375,0.9470815387635241,0.068383729101988,0.0,0.9696969696969697,0.5,1.0,0.0,0.9411764705882353
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.combustflame.2018.10.012,,,0.0002360859808788973,0.0,1.0,1.0,1.0,,1.0
mlp_weighted_sqrt,mlp_weighted_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::takahashi shuhei takeshi nagumo kazunori wakai and subrata bhattacharjee effects of ambient condition on flame spread over a thin pmma sheet jsme international journal series b 43 4 2000 556 562,,,0.001006907439207912,0.0,1.0,1.0,1.0,,1.0
