candidate_id,model_family,paper_weight,class_weight,fixed_params,weighting_policy
dt_baseline,decision_tree,none,False,{},"{""class_weight"": false, ""paper_weight"": ""none"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
dt_weighted_sqrt,decision_tree,sqrt,True,{},"{""class_weight"": true, ""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
dt_weighted_inverse,decision_tree,inverse,True,{},"{""class_weight"": true, ""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
