configuration_id,inner_fold,parameters,roc_auc,pr_auc,brier,mcc,f1,balanced_accuracy,sensitivity,specificity,precision,split_id,protocol,seed,fold,model_id
0,0,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 10}",0.8196775527077305,0.9231327977617647,0.14110555438172953,0.4119820707166447,0.8612021857923498,0.6995189597504604,0.8736141906873615,0.5254237288135594,0.8491379310344828,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
0,1,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 10}",0.8105249860476341,0.9159447382819964,0.14318971322918342,0.3438667418914676,0.8607594936708861,0.6496070712098587,0.9046563192904656,0.3945578231292517,0.8209255533199196,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
0,2,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 10}",0.7898113790970933,0.9032210088782672,0.14806221683768922,0.22774083390704877,0.8590065228299046,0.5748412447018718,0.9490022172949002,0.20068027210884354,0.7846012832263978,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
0,mean,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 10}",0.8066713059508194,0.9140995149740094,0.14411916148286738,0.3278632155050537,0.8603227340977134,0.6413224252207304,0.9090909090909092,0.37355394135055153,0.8182215891936,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
1,0,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1}",0.8004678868052162,0.896740536255562,0.15121932827489976,0.4693645785544694,0.8732857926494789,0.7293772783644632,0.8824833702882483,0.576271186440678,0.8642779587404995,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
1,1,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1}",0.8179367090516916,0.9080712781477824,0.15065381595108576,0.4982757452723361,0.8787210584343991,0.7462177775766625,0.8835920177383592,0.608843537414966,0.8739035087719298,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
1,2,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1}",0.79992118798739,0.895593783585622,0.15066335967095132,0.43992978844942754,0.8793650793650793,0.6936362127999759,0.9212860310421286,0.46598639455782315,0.8410931174089069,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
1,mean,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1}",0.8061085946147659,0.9001351993296556,0.15084550129897897,0.469190037425411,0.8771239768163192,0.7230770895803672,0.8957871396895788,0.5503670394711556,0.8597581949737787,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
2,0,"{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 1}",0.8086286594761173,0.9105039374027613,0.142290888164593,0.41120613117244803,0.856353591160221,0.7041771581044007,0.8592017738359202,0.5491525423728814,0.8535242290748899,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
2,1,"{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 1}",0.8151047558713064,0.917714081474649,0.1414527711017198,0.3537653617883066,0.8637559179379274,0.6523786898351358,0.9101995565410199,0.3945578231292517,0.8218218218218218,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
2,2,"{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 1}",0.7887159298309125,0.8987719610341802,0.14720480812034736,0.2404795297468886,0.8594458438287154,0.5816816748872498,0.9456762749445676,0.21768707482993196,0.7876269621421976,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
2,mean,"{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 1}",0.8041497817261121,0.9089966599705303,0.14364948912888673,0.33515034090254775,0.8598517843089546,0.6460791742755955,0.9050258684405027,0.38713248011068835,0.8209910043463031,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
3,0,"{""criterion"": ""log_loss"", ""max_depth"": null, ""min_samples_leaf"": 20}",0.838629786914202,0.9391414193838283,0.13728479032763152,0.3954419966385063,0.8607046070460704,0.6875906648126574,0.8802660753880266,0.49491525423728816,0.8419936373276776,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
3,1,"{""criterion"": ""log_loss"", ""max_depth"": null, ""min_samples_leaf"": 20}",0.8558154969304795,0.9406199868409182,0.12794091732642476,0.47272110670918327,0.8785249457700651,0.7245124213765328,0.8980044345898004,0.5510204081632653,0.8598726114649682,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
3,2,"{""criterion"": ""log_loss"", ""max_depth"": null, ""min_samples_leaf"": 20}",0.8266192286227129,0.9260144011050988,0.13868472717742902,0.43357544473433207,0.8699891657638137,0.7053260328521653,0.8902439024390244,0.5204081632653061,0.850635593220339,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
3,mean,"{""criterion"": ""log_loss"", ""max_depth"": null, ""min_samples_leaf"": 20}",0.8403548374891314,0.9352586024432817,0.1346368116104951,0.43391284936067387,0.869739572859983,0.7058097063471185,0.8895048041389505,0.5221146085552865,0.8508339473376617,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
4,0,"{""criterion"": ""log_loss"", ""max_depth"": 3, ""min_samples_leaf"": 10}",0.7643616821376227,0.8819201323586414,0.1525290999167685,0.32714535342625706,0.8587926509186352,0.6398774850614454,0.9068736141906873,0.3728813559322034,0.8155533399800599,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
4,1,"{""criterion"": ""log_loss"", ""max_depth"": 3, ""min_samples_leaf"": 10}",0.7569403592922757,0.884056038692396,0.15689169060835836,0.23953505378858592,0.8523076923076923,0.5915953964734453,0.9212860310421286,0.2619047619047619,0.7929389312977099,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
