model_id,model_family,protocol,fold_count,sample_count,paper_count_sum,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,mcc_at_mcc_mean,mcc_at_mcc_std,f1_at_mcc_mean,f1_at_mcc_std,balanced_accuracy_at_mcc_mean,balanced_accuracy_at_mcc_std,sensitivity_at_mcc_mean,sensitivity_at_mcc_std,specificity_at_mcc_mean,specificity_at_mcc_std,precision_at_mcc_mean,precision_at_mcc_std,mcc_at_f1_mean,mcc_at_f1_std,f1_at_f1_mean,f1_at_f1_std,balanced_accuracy_at_f1_mean,balanced_accuracy_at_f1_std,sensitivity_at_f1_mean,sensitivity_at_f1_std,specificity_at_f1_mean,specificity_at_f1_std,precision_at_f1_mean,precision_at_f1_std,mcc_at_balanced_accuracy_mean,mcc_at_balanced_accuracy_std,f1_at_balanced_accuracy_mean,f1_at_balanced_accuracy_std,balanced_accuracy_at_balanced_accuracy_mean,balanced_accuracy_at_balanced_accuracy_std,sensitivity_at_balanced_accuracy_mean,sensitivity_at_balanced_accuracy_std,specificity_at_balanced_accuracy_mean,specificity_at_balanced_accuracy_std,precision_at_balanced_accuracy_mean,precision_at_balanced_accuracy_std,mcc_at_youden_j_mean,mcc_at_youden_j_std,f1_at_youden_j_mean,f1_at_youden_j_std,balanced_accuracy_at_youden_j_mean,balanced_accuracy_at_youden_j_std,sensitivity_at_youden_j_mean,sensitivity_at_youden_j_std,specificity_at_youden_j_mean,specificity_at_youden_j_std,precision_at_youden_j_mean,precision_at_youden_j_std
dt_baseline,decision_tree,extrapolation_grouped,15,13461,261,0.6116801046863635,0.07109882261009445,0.8105480845177716,0.03898071190385278,0.20813032505225587,0.017191750445143896,0.1652426380419009,0.08666246407956732,0.7656031595403444,0.07168947665582666,0.5857098323740697,0.05035079814375069,0.7455031936930462,0.1365639535457106,0.4259164710550933,0.19806849621940592,0.8048440856761796,0.03668819301444876,0.04498075230751239,0.09587546094240582,0.8590926315318425,0.014235734553329896,0.5159418580385483,0.037949320988718685,0.9864006696503883,0.034743050883927276,0.045483046426708404,0.11033395492082541,0.7619969676215436,0.02439934603299413,0.17828875004579645,0.09811595401449683,0.7493299994152932,0.0854842434939925,0.5934367457770497,0.055805095507690854,0.7137584313328759,0.15895984681857947,0.47311506022122374,0.23110377470674853,0.8168140650907836,0.045390452088601055,0.17828875004579645,0.09811595401449683,0.7493299994152932,0.0854842434939925,0.5934367457770497,0.055805095507690854,0.7137584313328759,0.15895984681857947,0.47311506022122374,0.23110377470674853,0.8168140650907836,0.045390452088601055
dt_baseline,decision_tree,interpolation_holdout,3,2694,245,0.8520722912503258,0.020032066384058786,0.9358433123985995,0.011594724921506,0.12801528041458832,0.005419999826885073,0.5056906200894856,0.020669597415099224,0.8285491751297961,0.0149072279689505,0.786472571075925,0.009050439101536231,0.7479074347612014,0.02455432326891516,0.8250377073906486,0.006911878876253189,0.9290596840629166,0.0008738676177098076,0.4080599287656726,0.023205776414142537,0.8825818718961514,0.004940630935392994,0.6492343784462996,0.014130216231051639,0.9606105366814376,0.015794204758587314,0.33785822021116135,0.03953346130341224,0.8164104622868301,0.007045683506434985,0.5115067988465785,0.030439363583404884,0.8236278203963048,0.007725096426305682,0.7918919641484591,0.018251258765919685,0.7346134908911867,0.009610645640543152,0.8491704374057315,0.036853067037317125,0.9373452596290902,0.014393455416319749,0.5115067988465785,0.030439363583404884,0.8236278203963048,0.007725096426305682,0.7918919641484591,0.018251258765919685,0.7346134908911867,0.009610645640543152,0.8491704374057315,0.036853067037317125,0.9373452596290902,0.014393455416319749
dt_baseline,decision_tree,interpolation_stratified,15,13461,1213,0.8530928574750234,0.01923564341965616,0.9371676807382453,0.01274827957783617,0.12960607853017056,0.00904386561267051,0.5058093710142545,0.03317234055535515,0.8232062886960817,0.019322994320908397,0.7874739556056519,0.018033223155755677,0.737114372201294,0.03407761936747228,0.8378335390100098,0.0415171014055059,0.9334838415495306,0.01413519901959818,0.39476924674592084,0.05143841405488676,0.8815953317769231,0.006339922912112342,0.641802191494606,0.027146055090977433,0.9629530735143734,0.011354137863872297,0.32065130947483894,0.060332453260933824,0.8131055699591575,0.012253153436033214,0.5052917812529343,0.03355744383411653,0.8130354535308285,0.016181547056538927,0.7897674244944274,0.01904729775221822,0.7157270881222704,0.026118987673812707,0.8638077608665846,0.03929294866912462,0.9419166886629873,0.015169985219644123,0.5052917812529343,0.03355744383411653,0.8130354535308285,0.016181547056538927,0.7897674244944274,0.01904729775221822,0.7157270881222704,0.026118987673812707,0.8638077608665846,0.03929294866912462,0.9419166886629873,0.015169985219644123
dt_baseline,decision_tree,lopo,87,4487,87,0.544196045984848,0.1780839818675826,0.7376198804543787,0.179975451712508,0.14026398978392288,0.14364600149470275,0.03036491328375178,0.18299252541598066,0.7490270187658024,0.3111370889500225,0.6798062965036671,0.2886642664784382,0.7554439272783311,0.3367386800544744,0.3750462597984411,0.4058233629182463,0.8674920950473964,0.1924877603416712,0.015737589645890705,0.11385115075772673,0.9050206205580106,0.12894596803569078,0.7496510673234811,0.2480220818076989,0.9948481116584564,0.035210762468544224,0.029545454545454545,0.15638287162281514,0.8536704889780039,0.1922916765798147,0.027091085458846368,0.20021555334649357,0.7115297136124239,0.3304270433927928,0.6605267618304113,0.2957282340209994,0.7086189873010493,0.3556148936661898,0.43390406865624986,0.4208699942185163,0.8606603495018308,0.21756990081370273,0.027091085458846368,0.20021555334649357,0.7115297136124239,0.3304270433927928,0.6605267618304113,0.2957282340209994,0.7086189873010493,0.3556148936661898,0.43390406865624986,0.4208699942185163,0.8606603495018308,0.21756990081370273
dt_weighted_inverse,decision_tree,extrapolation_grouped,15,13461,261,0.6298324456965456,0.09961718417819407,0.8210064322056748,0.05792657850985805,0.2461826960287067,0.0509694306197788,0.1924830349738344,0.15295355998729204,0.7529077385740195,0.06206080552824259,0.6061076991673597,0.08605280689647933,0.7078242279176699,0.11578958835300543,0.5043911704170496,0.237067694768793,0.8226724527045507,0.06657466770603965,-0.012408746121748051,0.031979669523720784,0.8559393960289324,0.015162345931000399,0.49757136722299955,0.006325325345060529,0.9901941879481568,0.02211653561408327,0.004948546497842272,0.018214135984015754,0.7541509284844189,0.02025999526793898,0.21630020947771875,0.166153448889207,0.7398181289562216,0.05556190093741334,0.6238023372327942,0.0944622822429552,0.6732148139700093,0.10155764514863413,0.5743898604955793,0.24481427928743002,0.8390012798016802,0.07074834588446244,0.21630020947771875,0.166153448889207,0.7398181289562216,0.05556190093741334,0.6238023372327942,0.0944622822429552,0.6732148139700093,0.10155764514863413,0.5743898604955793,0.24481427928743002,0.8390012798016802,0.07074834588446244
dt_weighted_inverse,decision_tree,interpolation_holdout,3,2694,245,0.8319899031081585,0.005949436454750673,0.9338291826434234,0.0036618948363177635,0.1656008994463236,0.0004882339286899423,0.45773596773159686,0.04452483351935127,0.7679334955197025,0.033188990810192776,0.76515480638341,0.025518924760117984,0.6479566715903495,0.04322477647206026,0.8823529411764706,0.00783733397089987,0.9437579277935199,0.007299600909702663,0.27253669716350487,0.07215024797399794,0.8685898865388081,0.004703767010093647,0.5820216508373602,0.041535227963864295,0.9694731659281143,0.020697045353996767,0.19457013574660634,0.10228646656522457,0.7871527543468969,0.017575772458125912,0.45767687799716783,0.04448062985189722,0.767104553248536,0.03259727666933361,0.7651704017591584,0.025530714358306793,0.6464795667159035,0.042203172258197356,0.8838612368024132,0.009419303165005137,0.9443140424060932,0.007796576270772355,0.45767687799716783,0.04448062985189722,0.767104553248536,0.03259727666933361,0.7651704017591584,0.025530714358306793,0.6464795667159035,0.042203172258197356,0.8838612368024132,0.009419303165005137,0.9443140424060932,0.007796576270772355
dt_weighted_inverse,decision_tree,interpolation_stratified,15,13461,1213,0.837628545789432,0.012428652525806733,0.9342326176871458,0.006793448158018724,0.1637857703497233,0.009014358112574132,0.48116581523049207,0.027871964343310567,0.8020879748172993,0.025448421451572403,0.7755235094213284,0.015031556464042634,0.7041074877854788,0.04541653215262857,0.8469395310571782,0.04694946295625737,0.9346214953435993,0.01545798862519995,0.2952840664961921,0.06743534042831253,0.870423817772275,0.00518982134065694,0.593128155210539,0.03610542062368016,0.9667910697793667,0.020237505291532273,0.2194652406417112,0.0895338684063016,0.7920445939035321,0.015885960131466124,0.4823081522647437,0.028308023180589042,0.7938338436352083,0.025932120809218813,0.7773495222681478,0.015103598077410959,0.6878500112166741,0.045495368271907796,0.8668490333196216,0.04680407928086825,0.9415681411388388,0.01685217727340859,0.4823081522647437,0.028308023180589042,0.7938338436352083,0.025932120809218813,0.7773495222681478,0.015103598077410959,0.6878500112166741,0.045495368271907796,0.8668490333196216,0.04680407928086825,0.9415681411388388,0.01685217727340859
dt_weighted_inverse,decision_tree,lopo,87,4487,87,0.5890106859456372,0.18235104992812645,0.7473021363910461,0.19269551661731948,0.18544043495938958,0.16969601620140437,0.0587313102749773,0.19125028638973138,0.7563355221464809,0.30075597676049537,0.6754006138043217,0.2655455697180106,0.7672300423634458,0.32594916790755385,0.37695357053998324,0.3955044515973526,0.8788676442554607,0.1852214346426174,0.015783371033571646,0.12476880938093914,0.9079208687143833,0.12804148037363836,0.7549483732709916,0.2508605623614668,0.99840249366842,0.014300622356783973,0.03409090909090909,0.1669746977325465,0.8544670620856482,0.19067415411147223,0.051480521224698,0.18082195947756724,0.7044881957524161,0.31966611054002886,0.6562799432562941,0.26518415342081353,0.6969050021438303,0.3503282692471542,0.47941914508889116,0.4129127358004837,0.8758493206372172,0.19497802164973738,0.051480521224698,0.18082195947756724,0.7044881957524161,0.31966611054002886,0.6562799432562941,0.26518415342081353,0.6969050021438303,0.3503282692471542,0.47941914508889116,0.4129127358004837,0.8758493206372172,0.19497802164973738
dt_weighted_sqrt,decision_tree,extrapolation_grouped,15,13461,261,0.6263248236545661,0.07503633312787797,0.8145661022410251,0.04148261624981278,0.22561269538460707,0.022744806334587458,0.19882836815334226,0.1285861385366376,0.7395508602921315,0.15286395636626146,0.6009969552138711,0.06797709996955312,0.7151111228184768,0.2139403966468562,0.4868827876092654,0.27074076714853473,0.8266114097112086,0.06041876804789981,0.018741072501577798,0.05107185511168473,0.8600569507945636,0.013644495148369153,0.5043750395406748,0.01445267551450167,0.9959295662608368,0.015393824853144751,0.012820512820512822,0.04418156508397404,0.7569971335699959,0.017187528418049762,0.19961303726794163,0.12956448590070957,0.7612042476834381,0.09051825841724927,0.605582204539349,0.0674491585894149,0.7323256338612711,0.1591423905228025,0.478838775217427,0.24105825875131556,0.8216508258300739,0.050606637940590296,0.19961303726794163,0.12956448590070957,0.7612042476834381,0.09051825841724927,0.605582204539349,0.0674491585894149,0.7323256338612711,0.1591423905228025,0.478838775217427,0.24105825875131556,0.8216508258300739,0.050606637940590296
dt_weighted_sqrt,decision_tree,interpolation_holdout,3,2694,245,0.8462708114719583,0.009422752599875957,0.9363208066376562,0.004616273057729037,0.1555483110700143,0.008239777130031649,0.49554789604997423,0.027274052620645396,0.8258359486946526,0.02298729024984961,0.7799470202806722,0.011918994115800717,0.7469226981782374,0.041367727841053616,0.812971342383107,0.03273383772882461,0.9247386542944378,0.009689543547110784,0.3791702639127689,0.03010831170091235,0.8767162633336779,0.0012773776806723155,0.6440801067614866,0.02484795198804462,0.948793697685869,0.014572770641997764,0.33936651583710403,0.06415134334279557,0.8150533341295206,0.012539964374037621,0.49438098195919994,0.034659818239870306,0.814841384202546,0.04004483446933067,0.7804115396868895,0.015387109957573522,0.726735598227474,0.07066985946177662,0.8340874811463047,0.05818190504369809,0.9318741173522573,0.018407122641215794,0.49438098195919994,0.034659818239870306,0.814841384202546,0.04004483446933067,0.7804115396868895,0.015387109957573522,0.726735598227474,0.07066985946177662,0.8340874811463047,0.05818190504369809,0.9318741173522573,0.018407122641215794
