split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline,0.8125,0.25,0.8125,0.8125
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,dt_baseline,0.7741935483870968,0.2727272727272727,0.7741935483870968,0.7741935483870968
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,dt_baseline,0.7857142857142857,0.2857142857142857,0.8108108108108109,0.8108108108108109
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,dt_baseline,0.7272727272727273,0.25,0.875,0.875
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,dt_baseline,0.7142857142857143,0.2857142857142857,0.8710601719197708,0.8710601719197708
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,dt_baseline,0.7619047619047619,0.3125,0.8305084745762712,0.8305084745762712
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,dt_baseline,0.8387096774193549,0.0,0.8771929824561403,0.8771929824561403
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,dt_baseline,0.8478260869565217,0.0,0.8478260869565217,0.8478260869565217
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,dt_baseline,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,dt_baseline,0.8461538461538461,0.0,0.8461538461538461,0.8461538461538461
extrapolation_grouped__seed-42__fold-4,extrapolation_grouped,42,4,dt_baseline,0.8518518518518519,0.3055555555555556,0.8518518518518519,0.8518518518518519
interpolation_holdout__seed-43__fold-0,interpolation_holdout,43,0,dt_baseline,0.7647058823529411,0.3125,0.8421052631578947,0.8421052631578947
interpolation_stratified__seed-43__fold-0,interpolation_stratified,43,0,dt_baseline,0.7777777777777778,0.16666666666666666,0.7916666666666666,0.7916666666666666
interpolation_stratified__seed-43__fold-1,interpolation_stratified,43,1,dt_baseline,0.8181818181818182,0.3333333333333333,0.8181818181818182,0.8181818181818182
interpolation_stratified__seed-43__fold-2,interpolation_stratified,43,2,dt_baseline,0.746268656716418,0.24390243902439024,0.8430232558139535,0.8430232558139535
interpolation_stratified__seed-43__fold-3,interpolation_stratified,43,3,dt_baseline,0.7837837837837838,0.23809523809523808,0.7837837837837838,0.7837837837837838
interpolation_stratified__seed-43__fold-4,interpolation_stratified,43,4,dt_baseline,0.7972972972972973,0.3,0.7972972972972973,0.7972972972972973
extrapolation_grouped__seed-43__fold-0,extrapolation_grouped,43,0,dt_baseline,0.8352941176470589,0.0,0.8352941176470589,0.8352941176470589
extrapolation_grouped__seed-43__fold-1,extrapolation_grouped,43,1,dt_baseline,0.8656126482213439,0.0,0.8656126482213439,0.8656126482213439
extrapolation_grouped__seed-43__fold-2,extrapolation_grouped,43,2,dt_baseline,0.5990675990675991,0.32211538461538464,0.5990675990675991,0.5990675990675991
extrapolation_grouped__seed-43__fold-3,extrapolation_grouped,43,3,dt_baseline,0.8333333333333334,0.2857142857142857,0.8333333333333334,0.8333333333333334
extrapolation_grouped__seed-43__fold-4,extrapolation_grouped,43,4,dt_baseline,0.3125,0.26666666666666666,1.0,1.0
interpolation_holdout__seed-44__fold-0,interpolation_holdout,44,0,dt_baseline,0.84,0.38461538461538464,0.84,0.84
interpolation_stratified__seed-44__fold-0,interpolation_stratified,44,0,dt_baseline,0.782608695652174,0.35,0.7857142857142857,0.7857142857142857
interpolation_stratified__seed-44__fold-1,interpolation_stratified,44,1,dt_baseline,0.8076923076923077,0.25,0.8095238095238095,0.8095238095238095
interpolation_stratified__seed-44__fold-2,interpolation_stratified,44,2,dt_baseline,0.8461538461538461,0.3125,0.8461538461538461,0.8461538461538461
interpolation_stratified__seed-44__fold-3,interpolation_stratified,44,3,dt_baseline,0.8,0.36363636363636365,0.8709677419354839,0.8709677419354839
interpolation_stratified__seed-44__fold-4,interpolation_stratified,44,4,dt_baseline,0.7714285714285715,0.21428571428571427,0.8888888888888888,0.8888888888888888
extrapolation_grouped__seed-44__fold-0,extrapolation_grouped,44,0,dt_baseline,0.6875,0.0,0.6875,0.6875
extrapolation_grouped__seed-44__fold-1,extrapolation_grouped,44,1,dt_baseline,1.0,0.0,1.0,1.0
extrapolation_grouped__seed-44__fold-2,extrapolation_grouped,44,2,dt_baseline,0.8189655172413793,0.0,0.9382716049382716,0.9382716049382716
extrapolation_grouped__seed-44__fold-3,extrapolation_grouped,44,3,dt_baseline,0.825,0.0,0.825,0.825
extrapolation_grouped__seed-44__fold-4,extrapolation_grouped,44,4,dt_baseline,0.7592592592592593,0.0,0.7592592592592593,0.7592592592592593
lopo__seed-42__fold-0,lopo,42,0,dt_baseline,0.9411764705882353,0.0,0.9411764705882353,0.9411764705882353
lopo__seed-42__fold-1,lopo,42,1,dt_baseline,0.8398190045248869,0.0,0.8398190045248869,0.8398190045248869
lopo__seed-42__fold-2,lopo,42,2,dt_baseline,0.6153846153846154,0.0,0.6153846153846154,0.6153846153846154
lopo__seed-42__fold-3,lopo,42,3,dt_baseline,0.6,0.0,0.875,0.875
lopo__seed-42__fold-4,lopo,42,4,dt_baseline,0.45454545454545453,0.0,0.9142857142857143,0.9142857142857143
lopo__seed-42__fold-5,lopo,42,5,dt_baseline,0.9184952978056427,0.287292817679558,0.9184952978056427,0.9184952978056427
lopo__seed-42__fold-6,lopo,42,6,dt_baseline,0.8638920134983127,0.28651685393258425,0.8638920134983127,0.8638920134983127
lopo__seed-42__fold-7,lopo,42,7,dt_baseline,0.6428571428571429,0.0,0.6428571428571429,0.6428571428571429
lopo__seed-42__fold-8,lopo,42,8,dt_baseline,0.8452380952380952,0.35,0.8452380952380952,0.8452380952380952
lopo__seed-42__fold-9,lopo,42,9,dt_baseline,0.9088145896656535,0.38869257950530034,0.9088145896656535,0.9088145896656535
lopo__seed-42__fold-10,lopo,42,10,dt_baseline,0.6455026455026455,0.2857142857142857,0.6455026455026455,0.6455026455026455
lopo__seed-42__fold-11,lopo,42,11,dt_baseline,0.7849462365591398,0.0,0.7849462365591398,0.7849462365591398
lopo__seed-42__fold-12,lopo,42,12,dt_baseline,0.6575342465753424,0.0,0.7433628318584071,0.7433628318584071
lopo__seed-42__fold-13,lopo,42,13,dt_baseline,0.8444444444444444,0.0,0.8444444444444444,0.8444444444444444
lopo__seed-42__fold-14,lopo,42,14,dt_baseline,0.8,0.0,0.9375,0.9375
lopo__seed-42__fold-15,lopo,42,15,dt_baseline,0.8945578231292517,0.3403361344537815,0.8945578231292517,0.8945578231292517
lopo__seed-42__fold-16,lopo,42,16,dt_baseline,0.53125,0.08571428571428572,0.8962264150943396,0.8962264150943396
lopo__seed-42__fold-17,lopo,42,17,dt_baseline,0.75,0.16129032258064516,0.75,0.75
lopo__seed-42__fold-18,lopo,42,18,dt_baseline,0.6153846153846154,0.04,0.6153846153846154,0.6153846153846154
lopo__seed-42__fold-19,lopo,42,19,dt_baseline,0.8142414860681114,0.0,0.8142414860681114,0.8142414860681114
lopo__seed-42__fold-20,lopo,42,20,dt_baseline,0.8539325842696629,0.0,0.8539325842696629,0.8539325842696629
lopo__seed-42__fold-21,lopo,42,21,dt_baseline,0.5161290322580645,0.0,0.8666666666666667,0.8666666666666667
lopo__seed-42__fold-22,lopo,42,22,dt_baseline,0.5925925925925926,0.0,0.8481012658227848,0.8481012658227848
lopo__seed-42__fold-23,lopo,42,23,dt_baseline,0.8818181818181818,0.0,0.8818181818181818,0.8818181818181818
lopo__seed-42__fold-24,lopo,42,24,dt_baseline,0.819047619047619,0.0,0.819047619047619,0.819047619047619
lopo__seed-42__fold-25,lopo,42,25,dt_baseline,0.9189873417721519,0.4372093023255814,0.9189873417721519,0.9189873417721519
lopo__seed-42__fold-26,lopo,42,26,dt_baseline,0.8955223880597015,0.10869565217391304,0.8955223880597015,0.8955223880597015
lopo__seed-42__fold-27,lopo,42,27,dt_baseline,0.6730769230769231,0.02702702702702703,0.6730769230769231,0.6730769230769231
lopo__seed-42__fold-28,lopo,42,28,dt_baseline,0.8439716312056738,0.44776119402985076,0.8439716312056738,0.8439716312056738
lopo__seed-42__fold-29,lopo,42,29,dt_baseline,0.8666666666666667,0.0,0.8666666666666667,0.8666666666666667
lopo__seed-42__fold-30,lopo,42,30,dt_baseline,0.7368421052631579,0.0,0.7368421052631579,0.7368421052631579
lopo__seed-42__fold-31,lopo,42,31,dt_baseline,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571
lopo__seed-42__fold-32,lopo,42,32,dt_baseline,0.8214285714285714,0.1,0.8709677419354839,0.8709677419354839
lopo__seed-42__fold-33,lopo,42,33,dt_baseline,0.9230769230769231,0.05555555555555555,0.9230769230769231,0.9230769230769231
lopo__seed-42__fold-34,lopo,42,34,dt_baseline,0.8392857142857143,0.0,0.9375,0.9375
lopo__seed-42__fold-35,lopo,42,35,dt_baseline,0.8355321020228672,0.3876651982378855,0.8355321020228672,0.8355321020228672
lopo__seed-42__fold-36,lopo,42,36,dt_baseline,0.7820069204152249,0.09523809523809523,0.7944038929440389,0.7944038929440389
lopo__seed-42__fold-37,lopo,42,37,dt_baseline,0.825563909774436,0.24545454545454545,0.825563909774436,0.825563909774436
lopo__seed-42__fold-38,lopo,42,38,dt_baseline,0.8588709677419355,0.0,0.8588709677419355,0.8588709677419355
lopo__seed-42__fold-39,lopo,42,39,dt_baseline,0.6363636363636364,0.09090909090909091,0.7647058823529411,0.7647058823529411
lopo__seed-42__fold-40,lopo,42,40,dt_baseline,0.6712328767123288,0.0,0.7777777777777778,0.7777777777777778
