candidate_id,model_id,model_family,protocol,metric,ci_low,ci_high,mean
svm_baseline,svm_baseline,svm,interpolation_holdout,roc_auc,0.8443225034588315,0.8614963540239411,0.8542211112373593
svm_baseline,svm_baseline,svm,interpolation_holdout,pr_auc,0.9438944040186025,0.9508961320990451,0.9477469609686464
svm_baseline,svm_baseline,svm,interpolation_holdout,brier,0.13021589369319192,0.1394730903563286,0.1338609986070478
svm_baseline,svm_baseline,svm,interpolation_stratified,roc_auc,0.8139559137561172,0.8294162148540821,0.8221811666754986
svm_baseline,svm_baseline,svm,interpolation_stratified,pr_auc,0.9274457032253972,0.9351546823194813,0.9315299042668167
svm_baseline,svm_baseline,svm,interpolation_stratified,brier,0.1541507904518273,0.15858135498587378,0.15631254903389533
svm_baseline,svm_baseline,svm,extrapolation_grouped,roc_auc,0.6253664073762145,0.6933346390710852,0.6640815304137654
svm_baseline,svm_baseline,svm,extrapolation_grouped,pr_auc,0.8354862069182605,0.8754912234692073,0.8579570693216693
svm_baseline,svm_baseline,svm,extrapolation_grouped,brier,0.17179701511648265,0.1816993663499018,0.1765012046780157
svm_baseline,svm_baseline,svm,lopo,roc_auc,0.6188446102154024,0.7484952165336662,0.6844986448329101
svm_baseline,svm_baseline,svm,lopo,pr_auc,0.7886355859227184,0.8833860275111278,0.8396776440408171
svm_baseline,svm_baseline,svm,lopo,brier,0.10008871947110887,0.14413231449955602,0.12122108776521928
svm_weighted_sqrt,svm_weighted_sqrt,svm,interpolation_holdout,roc_auc,0.860276572849342,0.8774771583443058,0.8695535935087589
svm_weighted_sqrt,svm_weighted_sqrt,svm,interpolation_holdout,pr_auc,0.9517874942266319,0.9561877104540826,0.9541630315749249
svm_weighted_sqrt,svm_weighted_sqrt,svm,interpolation_holdout,brier,0.14552547116940423,0.15431007566674174,0.1492332493715057
svm_weighted_sqrt,svm_weighted_sqrt,svm,interpolation_stratified,roc_auc,0.8542555183761601,0.8666718246427477,0.8608163801813639
svm_weighted_sqrt,svm_weighted_sqrt,svm,interpolation_stratified,pr_auc,0.9494194389784452,0.9541361755733654,0.9517590578306087
svm_weighted_sqrt,svm_weighted_sqrt,svm,interpolation_stratified,brier,0.17752860414492955,0.18141908113267333,0.17942595179473347
svm_weighted_sqrt,svm_weighted_sqrt,svm,extrapolation_grouped,roc_auc,0.6575525845555691,0.7009064471696849,0.6792499642955029
svm_weighted_sqrt,svm_weighted_sqrt,svm,extrapolation_grouped,pr_auc,0.8535566967297396,0.8802721558359844,0.8674610621652641
svm_weighted_sqrt,svm_weighted_sqrt,svm,extrapolation_grouped,brier,0.19307182478980228,0.2039312510388541,0.19805666647422956
svm_weighted_sqrt,svm_weighted_sqrt,svm,lopo,roc_auc,0.6123271614020638,0.7401566401364852,0.6789028397834954
svm_weighted_sqrt,svm_weighted_sqrt,svm,lopo,pr_auc,0.7869422791535333,0.8774628662968237,0.8344953870037082
svm_weighted_sqrt,svm_weighted_sqrt,svm,lopo,brier,0.1533950675906755,0.1832343843912554,0.16843230476614965
svm_weighted_inverse,svm_weighted_inverse,svm,interpolation_holdout,roc_auc,0.8569614415474178,0.8695970377697723,0.865351753700003
svm_weighted_inverse,svm_weighted_inverse,svm,interpolation_holdout,pr_auc,0.9515732415361398,0.9548081347335348,0.953344969956203
svm_weighted_inverse,svm_weighted_inverse,svm,interpolation_holdout,brier,0.1456012414968387,0.1548510146063261,0.15051870458912722
svm_weighted_inverse,svm_weighted_inverse,svm,interpolation_stratified,roc_auc,0.8513598550894835,0.8625964676914061,0.8567214216558054
svm_weighted_inverse,svm_weighted_inverse,svm,interpolation_stratified,pr_auc,0.9479247868327051,0.9527725107436236,0.9502204724028704
svm_weighted_inverse,svm_weighted_inverse,svm,interpolation_stratified,brier,0.159750144036038,0.16331007453917284,0.16159355791803892
svm_weighted_inverse,svm_weighted_inverse,svm,extrapolation_grouped,roc_auc,0.6706780285282644,0.7140760165093385,0.693403825635117
svm_weighted_inverse,svm_weighted_inverse,svm,extrapolation_grouped,pr_auc,0.8669147953377122,0.8885190172983944,0.878679709317153
svm_weighted_inverse,svm_weighted_inverse,svm,extrapolation_grouped,brier,0.17827410191342377,0.18746168629338797,0.18276800569688362
svm_weighted_inverse,svm_weighted_inverse,svm,lopo,roc_auc,0.5778508060062504,0.7063928297029368,0.6421196191291272
svm_weighted_inverse,svm_weighted_inverse,svm,lopo,pr_auc,0.7629909044909129,0.8660395696986781,0.8156248304758122
svm_weighted_inverse,svm_weighted_inverse,svm,lopo,brier,0.129989367267732,0.16365887152950082,0.14655625046954773
svm_linear_sqrt,svm_linear_sqrt,svm,interpolation_holdout,roc_auc,0.7628244116644499,0.7836943662819064,0.7732075900465857
svm_linear_sqrt,svm_linear_sqrt,svm,interpolation_holdout,pr_auc,0.9090740188765706,0.9186642370193782,0.9151390858857967
svm_linear_sqrt,svm_linear_sqrt,svm,interpolation_holdout,brier,0.17829052350088626,0.19337381095352665,0.1862764055497692
svm_linear_sqrt,svm_linear_sqrt,svm,interpolation_stratified,roc_auc,0.7500550184765952,0.7657237696664799,0.7578678133866279
svm_linear_sqrt,svm_linear_sqrt,svm,interpolation_stratified,pr_auc,0.8978408928378939,0.9080551281915163,0.9032479071095608
svm_linear_sqrt,svm_linear_sqrt,svm,interpolation_stratified,brier,0.19611821217434605,0.19857674214267207,0.1973561136989853
svm_linear_sqrt,svm_linear_sqrt,svm,extrapolation_grouped,roc_auc,0.6240150228535417,0.7183311449458416,0.6723896375902007
svm_linear_sqrt,svm_linear_sqrt,svm,extrapolation_grouped,pr_auc,0.8260350582684751,0.882318903562375,0.854975923666977
svm_linear_sqrt,svm_linear_sqrt,svm,extrapolation_grouped,brier,0.1974747331425498,0.20906187937683945,0.20331655320752537
svm_linear_sqrt,svm_linear_sqrt,svm,lopo,roc_auc,0.5685097504944776,0.6952697566880965,0.6331904682327536
svm_linear_sqrt,svm_linear_sqrt,svm,lopo,pr_auc,0.7407478533399043,0.846967175903385,0.7967463828130579
svm_linear_sqrt,svm_linear_sqrt,svm,lopo,brier,0.16233827967572229,0.18702095970871102,0.17456696526812418
svm_linear_inverse,svm_linear_inverse,svm,interpolation_holdout,roc_auc,0.757497476890995,0.7730538641999237,0.7630260375937672
svm_linear_inverse,svm_linear_inverse,svm,interpolation_holdout,pr_auc,0.9061346239942077,0.9126970530415579,0.9098511885690739
svm_linear_inverse,svm_linear_inverse,svm,interpolation_holdout,brier,0.17099151628444306,0.18277861717042035,0.17738446902679994
svm_linear_inverse,svm_linear_inverse,svm,interpolation_stratified,roc_auc,0.7474159571693505,0.7632602856323807,0.7555498170213485
svm_linear_inverse,svm_linear_inverse,svm,interpolation_stratified,pr_auc,0.8951660064335165,0.905217074742701,0.9003544754227489
svm_linear_inverse,svm_linear_inverse,svm,interpolation_stratified,brier,0.1783793267042137,0.18085256078278447,0.1796481133209791
svm_linear_inverse,svm_linear_inverse,svm,extrapolation_grouped,roc_auc,0.6425407881206681,0.7190124837869938,0.6809547197724372
svm_linear_inverse,svm_linear_inverse,svm,extrapolation_grouped,pr_auc,0.8397797069606048,0.8860192642922853,0.8643889317458326
svm_linear_inverse,svm_linear_inverse,svm,extrapolation_grouped,brier,0.1824523984981927,0.19405894618662073,0.18839740751421985
svm_linear_inverse,svm_linear_inverse,svm,lopo,roc_auc,0.5694370605700798,0.6980341734535912,0.6325432159582298
svm_linear_inverse,svm_linear_inverse,svm,lopo,pr_auc,0.7487694808481908,0.8554085122171579,0.8045431929210625
svm_linear_inverse,svm_linear_inverse,svm,lopo,brier,0.1338536826723557,0.16486423482257687,0.14936947185993174
