protocol,model_a,model_b,paired_fold_count,delta_roc_auc,wilcoxon_p_roc_auc,delta_pr_auc,wilcoxon_p_pr_auc,delta_brier,wilcoxon_p_brier,delta_mcc_at_mcc,wilcoxon_p_mcc_at_mcc,delta_f1_at_f1,wilcoxon_p_f1_at_f1,delta_balanced_accuracy_at_balanced_accuracy,wilcoxon_p_balanced_accuracy_at_balanced_accuracy,caveat
extrapolation_grouped,xgb_baseline,xgb_class_only,15,0.01464711488425916,0.01806640625,0.006925089395290833,0.1688232421875,-0.008192820350329082,0.04791259765625,0.024284891624240815,0.359130859375,-0.0017784200681413584,0.23931654122149526,0.01690101048365648,0.1876220703125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_baseline,xgb_focal_inverse,15,0.21853608257043647,6.103515625e-05,0.12128110246677484,6.103515625e-05,-0.5759364267190298,6.103515625e-05,0.2912417571314973,6.103515625e-05,-0.000872348317857378,0.20262160771231197,0.15854969444697337,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_baseline,xgb_focal_sqrt,15,0.23808176492576974,6.103515625e-05,0.12509620433804036,6.103515625e-05,-0.5759306569894155,6.103515625e-05,0.3346970720212095,6.103515625e-05,-0.000872348317857378,0.20262160771231197,0.17225677028855985,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_baseline,xgb_paper_inverse,15,0.024856422356643322,0.00262451171875,0.015006642017255427,0.01806640625,-0.01582482655843099,0.00115966796875,0.03275687159019674,0.012451171875,0.005206493713497092,0.0280561241492436,0.009451351696830335,0.48870849609375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_baseline,xgb_paper_sqrt,15,0.017918945735497096,0.0008544921875,0.011699775424952107,0.01025390625,-0.007478395104408264,0.05535888671875,0.01144971702380713,0.359130859375,-0.0012232953676698669,0.1823383541807685,0.004988469694309491,0.389404296875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_baseline,xgb_weighted_inverse,15,0.03859300519871581,0.0006103515625,0.024048439038234008,0.00836181640625,-0.02374573747316996,0.00030517578125,0.0515039868154833,0.0067138671875,0.0015878081926933,0.4235963177660037,0.015593940673671687,0.25238037109375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_baseline,xgb_weighted_sqrt,15,0.03406161781279363,0.0006103515625,0.0211616818033633,0.0042724609375,-0.01730912725130717,0.00335693359375,0.03846472393165173,0.0301513671875,-0.00040644116100542563,0.11412832776223863,0.016137763962768396,0.072998046875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_class_only,xgb_focal_inverse,15,0.20388896768617734,6.103515625e-05,0.114356013071484,6.103515625e-05,-0.5677436063687007,6.103515625e-05,0.2669568655072565,6.103515625e-05,0.0009060717502839803,0.5750621301739497,0.14164868396331684,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_class_only,xgb_focal_sqrt,15,0.22343465004151059,6.103515625e-05,0.11817111494274952,6.103515625e-05,-0.5677378366390864,6.103515625e-05,0.3104121803969688,6.103515625e-05,0.0009060717502839803,0.5750621301739497,0.15535575980490332,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_class_only,xgb_paper_inverse,15,0.010209307472384162,0.48870849609375,0.008081552621964593,0.25238037109375,-0.007632006208101908,0.359130859375,0.00847197996595592,0.76153564453125,0.00698491378163845,0.010862224704815628,-0.007449658786826145,0.5614013671875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_class_only,xgb_paper_sqrt,15,0.0032718308512379372,1.0,0.004774686029661275,0.52447509765625,0.0007144252459208171,0.97796630859375,-0.012835174600433688,0.638671875,0.0005551247004714914,0.8589549227374824,-0.011912540789346988,0.1688232421875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_class_only,xgb_weighted_inverse,15,0.02394589031445665,0.0301513671875,0.017123349642943174,0.0301513671875,-0.015552917122840881,0.00335693359375,0.027219095191242475,0.27685546875,0.0033662282608346583,0.04986020375690694,-0.0013070698099847918,0.76153564453125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_class_only,xgb_weighted_sqrt,15,0.019414502928534475,0.05535888671875,0.014236592408072467,0.05535888671875,-0.009116306900978088,0.05535888671875,0.01417983230741091,0.638671875,0.0013719789071359326,0.8588630128278887,-0.0007632465208880834,0.803955078125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_focal_inverse,xgb_focal_sqrt,15,0.019545682355333282,0.09289194088370532,0.003815101871265503,0.17629637444051116,5.769729614257812e-06,0.27332167829229814,0.04345531488971225,0.11585149752593009,0.0,1.0,0.013707075841586484,0.11585149752593009,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_focal_inverse,xgb_paper_inverse,15,-0.19367966021379318,6.103515625e-05,-0.10627446044951942,6.103515625e-05,0.5601116001605988,6.103515625e-05,-0.2584848855413006,6.103515625e-05,0.00607884203135447,0.04685328478814715,-0.14909834275014303,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_focal_inverse,xgb_paper_sqrt,15,-0.20061713683493937,6.103515625e-05,-0.10958132704182273,6.103515625e-05,0.5684580316146215,6.103515625e-05,-0.2797920401076902,6.103515625e-05,-0.00035094704981248893,0.26039294361048326,-0.15356122475266384,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_focal_inverse,xgb_weighted_inverse,15,-0.17994307737172066,6.103515625e-05,-0.09723266342854082,6.103515625e-05,0.5521906892458598,6.103515625e-05,-0.23973777031601404,6.103515625e-05,0.002460156510550678,0.13941397332153205,-0.14295575377330164,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_focal_inverse,xgb_weighted_sqrt,15,-0.18447446475764284,6.103515625e-05,-0.10011942066341155,6.103515625e-05,0.5586272994677226,6.103515625e-05,-0.2527770331998456,6.103515625e-05,0.0004659071568519524,0.2626182904425206,-0.14241193048420492,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_focal_sqrt,xgb_paper_inverse,15,-0.21322534256912642,6.103515625e-05,-0.11008956232078491,6.103515625e-05,0.5601058304309845,6.103515625e-05,-0.3019402004310129,6.103515625e-05,0.00607884203135447,0.04685328478814715,-0.1628054185917295,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_focal_sqrt,xgb_paper_sqrt,15,-0.22016281919027267,6.103515625e-05,-0.11339642891308825,6.103515625e-05,0.5684522618850072,6.103515625e-05,-0.3232473549974024,6.103515625e-05,-0.00035094704981248893,0.26039294361048326,-0.16726830059425032,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_focal_sqrt,xgb_weighted_inverse,15,-0.19948875972705396,6.103515625e-05,-0.10104776529980634,6.103515625e-05,0.5521849195162455,6.103515625e-05,-0.28319308520572634,6.103515625e-05,0.002460156510550678,0.13941397332153205,-0.15666282961488812,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_focal_sqrt,xgb_weighted_sqrt,15,-0.20402014711297606,6.103515625e-05,-0.10393452253467705,6.103515625e-05,0.5586215297381083,6.103515625e-05,-0.29623234808955784,6.103515625e-05,0.0004659071568519524,0.2626182904425206,-0.15611900632579143,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_paper_inverse,xgb_paper_sqrt,15,-0.006937476621146225,0.207763671875,-0.0033068665923033183,0.7197265625,0.008346431454022725,0.083251953125,-0.02130715456638961,0.207763671875,-0.0064297890811669586,0.04685328478814715,-0.004462882002520844,0.67877197265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_paper_inverse,xgb_weighted_inverse,15,0.013736582842072487,0.063720703125,0.00904179702097858,0.05535888671875,-0.007920910914738974,0.1353759765625,0.01874711522528656,0.389404296875,-0.003618685520803792,0.875329249147922,0.006142588976841353,0.5994873046875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_paper_inverse,xgb_weighted_sqrt,15,0.009205195456150313,0.207763671875,0.006155039786107874,0.45428466796875,-0.00148430069287618,1.0,0.00570785234145499,0.97796630859375,-0.005612934874502517,0.1095109374886408,0.006686412265938062,0.638671875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_paper_sqrt,xgb_weighted_inverse,15,0.02067405946321871,0.00537109375,0.0123486636132819,0.04791259765625,-0.0162673423687617,0.00030517578125,0.040054269791676166,0.02557373046875,0.002811103560363167,0.11666446478102344,0.010605470979362198,0.083251953125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_paper_sqrt,xgb_weighted_sqrt,15,0.016142672077296537,0.15142822265625,0.009461906378411192,0.359130859375,-0.009830732146898906,0.03533935546875,0.0270150069078446,0.1353759765625,0.0008168542066644413,0.4235963177660037,0.011149294268458905,0.22930908203125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_weighted_inverse,xgb_weighted_sqrt,15,-0.004531387385922173,0.48870849609375,-0.0028867572348707073,0.45428466796875,0.006436610221862793,0.02557373046875,-0.013039262883831565,0.48870849609375,-0.0019942493536987257,0.1306650895957666,0.0005438232890967084,0.97796630859375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_baseline,xgb_class_only,3,-0.0007586036346136268,1.0,-0.00039326376434782134,0.5,-0.010506602625052134,0.25,0.0021537081902762343,1.0,0.0007813652974210846,1.0,0.00017154913323128942,1.0,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_baseline,xgb_focal_inverse,3,0.4022782616057445,0.25,0.21250360621775818,0.25,-0.6442735070983568,0.25,0.5900249407364085,0.25,0.0325496111637833,0.25,0.33275296256441445,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_baseline,xgb_focal_sqrt,3,0.4010139222147216,0.25,0.2122965337328847,0.25,-0.6442706659436226,0.25,0.5900249407364085,0.25,0.0325496111637833,0.25,0.33275296256441445,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_baseline,xgb_paper_inverse,3,0.013810819180529918,0.25,0.006442088994932853,0.25,-0.004602948824564616,0.25,0.023355844023862222,1.0,0.008854363432237222,0.25,0.01123758218206039,0.5,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_baseline,xgb_paper_sqrt,3,-0.0022178852224902235,0.25,-6.659224016588212e-05,1.0,-0.0017516762018203735,0.75,-0.0009744660138694128,1.0,-2.4205341356979087e-05,1.0,-0.0009346085894874253,1.0,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_baseline,xgb_weighted_inverse,3,0.0031368984362294774,0.5,0.001873347555375382,0.5,-0.012134005626042684,0.25,0.002497679980735986,1.0,0.002233439651439554,0.75,0.004680840635310972,0.5,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_baseline,xgb_weighted_sqrt,3,-0.00021610734965497405,0.75,-0.00013770375537399313,0.75,-0.01081518828868866,0.25,0.012468547355153755,0.25,0.0049222857375148905,0.25,-0.0026612394759062776,0.75,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_class_only,xgb_focal_inverse,3,0.40303686524035814,0.25,0.212896869982106,0.25,-0.6337669044733047,0.25,0.5878712325461323,0.25,0.03176824586636221,0.25,0.33258141343118314,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_class_only,xgb_focal_sqrt,3,0.40177252584933526,0.25,0.21268979749723252,0.25,-0.6337640633185705,0.25,0.5878712325461323,0.25,0.03176824586636221,0.25,0.33258141343118314,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_class_only,xgb_paper_inverse,3,0.014569422815143543,0.25,0.006835352759280673,0.25,0.005903653800487518,0.25,0.02120213583358599,0.75,0.008072998134816137,0.25,0.011066033048829102,0.75,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_class_only,xgb_paper_sqrt,3,-0.0014592815878765968,0.5,0.0003266715241819392,0.5,0.00875492642323176,0.25,-0.003128174204145647,1.0,-0.0008055706387780637,1.0,-0.0011061577227187147,1.0,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_class_only,xgb_weighted_inverse,3,0.0038955020708431043,0.25,0.002266611319723203,0.25,-0.0016274030009905498,0.25,0.0003439717904597517,1.0,0.0014520743540184695,0.25,0.004509291502079682,0.5,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_class_only,xgb_weighted_sqrt,3,0.0005424962849586527,1.0,0.0002555600089738282,1.0,-0.00030858566363652545,1.0,0.01031483916487752,0.5,0.004140920440093805,0.75,-0.0028327886091375674,0.75,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_focal_inverse,xgb_focal_sqrt,3,-0.0012643393910228284,1.0,-0.00020707248487346805,1.0,2.8411547342936197e-06,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_focal_inverse,xgb_paper_inverse,3,-0.3884674424252146,0.25,-0.2060615172228253,0.25,0.6396705582737923,0.25,-0.5666690967125464,0.25,-0.023695247731546076,0.25,-0.32151538038235405,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_focal_inverse,xgb_paper_sqrt,3,-0.4044961468282347,0.25,-0.21257019845792405,0.25,0.6425218308965365,0.25,-0.590999406750278,0.25,-0.032573816505140275,0.25,-0.33368757115390185,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_focal_inverse,xgb_weighted_inverse,3,-0.39914136316951504,0.25,-0.2106302586623828,0.25,0.6321395014723142,0.25,-0.5875272607556725,0.25,-0.030316171512343743,0.25,-0.32807212192910346,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_focal_inverse,xgb_weighted_sqrt,3,-0.4024943689553995,0.25,-0.21264130997313216,0.25,0.6334583188096682,0.25,-0.5775563933812548,0.25,-0.027627325426268407,0.25,-0.33541420204032074,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_focal_sqrt,xgb_paper_inverse,3,-0.38720310303419175,0.25,-0.20585444473795186,0.25,0.639667717119058,0.25,-0.5666690967125464,0.25,-0.023695247731546076,0.25,-0.32151538038235405,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
