split_id,protocol,seed,fold,model_id,model_family,n_test_rows,n_test_papers,roc_auc,pr_auc,brier,mcc_at_mcc,f1_at_mcc,balanced_accuracy_at_mcc,sensitivity_at_mcc,specificity_at_mcc,precision_at_mcc,mcc_at_f1,f1_at_f1,balanced_accuracy_at_f1,sensitivity_at_f1,specificity_at_f1,precision_at_f1,mcc_at_balanced_accuracy,f1_at_balanced_accuracy,balanced_accuracy_at_balanced_accuracy,sensitivity_at_balanced_accuracy,specificity_at_balanced_accuracy,precision_at_balanced_accuracy,mcc_at_youden_j,f1_at_youden_j,balanced_accuracy_at_youden_j,sensitivity_at_youden_j,specificity_at_youden_j,precision_at_youden_j
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,xgb_baseline,xgboost,898,79,0.8992694680417332,0.9653205389115656,0.10986573994159698,0.5750018683318764,0.8524857375713122,0.8251769518169727,0.7725258493353028,0.8778280542986425,0.9509090909090909,0.5462896079813662,0.9014084507042254,0.7396418856146025,0.9453471196454948,0.5339366515837104,0.8613728129205922,0.5779399029092909,0.8292268479184367,0.8332642680978766,0.7208271787296898,0.9457013574660633,0.976,0.5779399029092909,0.8292268479184367,0.8332642680978766,0.7208271787296898,0.9457013574660633,0.976
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,xgb_baseline,xgboost,898,83,0.9019262516959972,0.9677828501340109,0.10794804990291595,0.5730903150711995,0.8436724565756824,0.8268879873276432,0.7533234859675036,0.9004524886877828,0.9586466165413534,0.5059880776236438,0.8955431754874652,0.7124457782203895,0.9497784342688331,0.4751131221719457,0.847167325428195,0.5692479534357614,0.832632464255677,0.8271219179638678,0.7311669128508124,0.9230769230769231,0.966796875,0.5692479534357614,0.832632464255677,0.8271219179638678,0.7311669128508124,0.9230769230769231,0.966796875
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,xgb_baseline,xgboost,898,83,0.8943602665472508,0.9602871367167409,0.112118661403656,0.5585574859327225,0.8543845534995977,0.8129858238034449,0.7843426883308715,0.8416289592760181,0.9381625441696113,0.5394211196949968,0.9014675052410901,0.7297599871672337,0.9527326440177253,0.5067873303167421,0.8554376657824934,0.5669684326365104,0.8398340248962656,0.8239337775787511,0.7474150664697193,0.9004524886877828,0.9583333333333334,0.5669684326365104,0.8398340248962656,0.8239337775787511,0.7474150664697193,0.9004524886877828,0.9583333333333334
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,xgb_baseline,xgboost,897,81,0.9023096548945885,0.967903300828187,0.11510705947875977,0.6211885575411127,0.8780876494023905,0.8455787565462602,0.8138847858197932,0.8772727272727273,0.9532871972318339,0.48751070355528553,0.8904494382022472,0.7114240633812273,0.9364844903988183,0.4863636363636364,0.8487282463186078,0.6027582029969464,0.8659127625201939,0.8390459245333691,0.7917282127031019,0.8863636363636364,0.9554367201426025,0.6027582029969464,0.8659127625201939,0.8390459245333691,0.7917282127031019,0.8863636363636364,0.9554367201426025
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,xgb_baseline,xgboost,897,81,0.9182441296955741,0.9717947151178628,0.09732645750045776,0.6119684824848581,0.8636734693877551,0.8460233205708318,0.7825443786982249,0.9095022624434389,0.9635701275045537,0.5735341180760624,0.9069111424541608,0.7516098155238427,0.9511834319526628,0.5520361990950227,0.866576819407008,0.6119684824848581,0.8636734693877551,0.8460233205708318,0.7825443786982249,0.9095022624434389,0.9635701275045537,0.6119684824848581,0.8636734693877551,0.8460233205708318,0.7825443786982249,0.9095022624434389,0.9635701275045537
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,xgb_baseline,xgboost,897,80,0.9045857988165681,0.9696910885961317,0.11051038652658463,0.602186635208204,0.8636363636363636,0.8391924817264185,0.7869822485207101,0.8914027149321267,0.9568345323741008,0.46404394578556035,0.8843441466854725,0.7035764009745911,0.9275147928994083,0.4796380090497738,0.8450134770889488,0.6017451575625712,0.8547854785478548,0.8424121127741038,0.7662721893491125,0.918552036199095,0.9664179104477612,0.6017451575625712,0.8547854785478548,0.8424121127741038,0.7662721893491125,0.918552036199095,0.9664179104477612
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,xgb_baseline,xgboost,845,21,0.7817867118321745,0.9178997824767603,0.17099584639072418,0.27427023125192596,0.8512518409425626,0.6098606406370713,0.9145569620253164,0.3051643192488263,0.7961432506887053,0.0,0.8557887610020312,0.5,1.0,0.0,0.7479289940828402,0.36846379733155604,0.797945205479452,0.7043516372496583,0.7373417721518988,0.6713615023474179,0.8694029850746269,0.36846379733155604,0.797945205479452,0.7043516372496583,0.7373417721518988,0.6713615023474179,0.8694029850746269
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,xgb_baseline,xgboost,1024,15,0.6941033221521026,0.8270118339599382,0.1924850195646286,0.3482645464277982,0.7414860681114551,0.6934068641385716,0.6490514905149052,0.7377622377622378,0.8646209386281588,0.08487069293995242,0.8359240069084629,0.5145971914264598,0.983739837398374,0.045454545454545456,0.7267267267267268,0.3482645464277982,0.7414860681114551,0.6934068641385716,0.6490514905149052,0.7377622377622378,0.8646209386281588,0.3482645464277982,0.7414860681114551,0.6934068641385716,0.6490514905149052,0.7377622377622378,0.8646209386281588
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,xgb_baseline,xgboost,863,20,0.6843952443221957,0.8417001090680336,0.16562777757644653,0.24117328764034812,0.823262839879154,0.620586643820174,0.823262839879154,0.417910447761194,0.823262839879154,0.24897112047847966,0.8625525946704067,0.5938547444048639,0.9290030211480362,0.25870646766169153,0.8049738219895288,0.19064245662356497,0.5734549138804458,0.6092686116246562,0.42749244712990936,0.7910447761194029,0.8707692307692307,0.19064245662356497,0.5734549138804458,0.6092686116246562,0.42749244712990936,0.7910447761194029,0.8707692307692307
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,xgb_baseline,xgboost,884,16,0.6838108944067359,0.8782186613452534,0.18720375001430511,0.2454584889515244,0.7813733228097869,0.6368889079817854,0.7300884955752213,0.5436893203883495,0.8404074702886248,0.1943194332869639,0.8623237071860309,0.5632571526763468,0.9469026548672567,0.1796116504854369,0.7916152897657214,0.2427530593977425,0.773524720893142,0.6367958301114071,0.7153392330383481,0.558252427184466,0.8420138888888888,0.2427530593977425,0.773524720893142,0.6367958301114071,0.7153392330383481,0.558252427184466,0.8420138888888888
extrapolation_grouped__seed-42__fold-4,extrapolation_grouped,42,4,xgb_baseline,xgboost,871,15,0.7480638479895538,0.9125042023806155,0.20118603110313416,0.3173798623684721,0.7795210569777044,0.6840019811788014,0.7013372956909361,0.6666666666666666,0.8773234200743495,0.0,0.8717616580310881,0.5,1.0,0.0,0.7726750861079219,0.3173798623684721,0.7795210569777044,0.6840019811788014,0.7013372956909361,0.6666666666666666,0.8773234200743495,0.3173798623684721,0.7795210569777044,0.6840019811788014,0.7013372956909361,0.6666666666666666,0.8773234200743495
interpolation_holdout__seed-43__fold-0,interpolation_holdout,43,0,xgb_baseline,xgboost,898,83,0.901792577046726,0.9662081120922552,0.10808933526277542,0.5957974719811846,0.8601626016260162,0.8363955967570531,0.7813884785819794,0.8914027149321267,0.9566003616636528,0.4769250761544388,0.8887333799860042,0.704274915283691,0.9379615952732644,0.47058823529411764,0.8444148936170213,0.5691813139266866,0.8395677472984207,0.825457668580442,0.7459379615952733,0.9049773755656109,0.9600760456273765,0.5691813139266866,0.8395677472984207,0.825457668580442,0.7459379615952733,0.9049773755656109,0.9600760456273765
interpolation_stratified__seed-43__fold-0,interpolation_stratified,43,0,xgb_baseline,xgboost,898,81,0.9203365927668647,0.9725665278390907,0.09550230205059052,0.6109047649447653,0.8573784006595219,0.8478481723333579,0.7680945347119645,0.9276018099547512,0.9701492537313433,0.4922537389248564,0.8974700399467377,0.6561553834123128,0.9955686853766618,0.3167420814479638,0.816969696969697,0.6077720927085869,0.8554913294797688,0.8463710674589118,0.7651403249630724,0.9276018099547512,0.9700374531835206,0.6077720927085869,0.8554913294797688,0.8463710674589118,0.7651403249630724,0.9276018099547512,0.9700374531835206
interpolation_stratified__seed-43__fold-1,interpolation_stratified,43,1,xgb_baseline,xgboost,898,78,0.8941564127071122,0.9628590206832749,0.11535491794347763,0.5765908432904474,0.8688783570300158,0.8179685463550265,0.8124076809453471,0.8235294117647058,0.933786078098472,0.44422587069426395,0.888283378746594,0.6670565510603741,0.9630723781388478,0.37104072398190047,0.8242730720606827,0.5757350315962719,0.8557536466774717,0.8243448271252598,0.7799113737075333,0.8687782805429864,0.947935368043088,0.5757350315962719,0.8557536466774717,0.8243448271252598,0.7799113737075333,0.8687782805429864,0.947935368043088
interpolation_stratified__seed-43__fold-2,interpolation_stratified,43,2,xgb_baseline,xgboost,897,82,0.8995736538203303,0.9668225226291934,0.10858363658189774,0.5719390476304075,0.8527257933279089,0.8233651134685107,0.7740029542097489,0.8727272727272727,0.9492753623188406,0.5125858795161149,0.8858181818181818,0.7475057069961057,0.8995568685376661,0.5954545454545455,0.8724928366762178,0.5556917111453833,0.8399339933993399,0.8168322814556197,0.7518463810930576,0.8818181818181818,0.9514018691588785,0.5556917111453833,0.8399339933993399,0.8168322814556197,0.7518463810930576,0.8818181818181818,0.9514018691588785
interpolation_stratified__seed-43__fold-3,interpolation_stratified,43,3,xgb_baseline,xgboost,897,81,0.9050443117620284,0.9692219899042726,0.10841718316078186,0.5691618236300092,0.8427152317880795,0.8244430908458058,0.7529585798816568,0.8959276018099548,0.956766917293233,0.5001013157447504,0.8952116585704372,0.7055777932474765,0.9541420118343196,0.45701357466063347,0.8431372549019608,0.5735425451012846,0.8421926910299004,0.8274886877828054,0.75,0.9049773755656109,0.9602272727272727,0.5735425451012846,0.8421926910299004,0.8274886877828054,0.75,0.9049773755656109,0.9602272727272727
interpolation_stratified__seed-43__fold-4,interpolation_stratified,43,4,xgb_baseline,xgboost,897,81,0.9034144153792605,0.9687936854330481,0.11064237356185913,0.5671298730103385,0.8707909162098669,0.8094326487991645,0.8224852071005917,0.7963800904977375,0.9251247920133111,0.5223187450117387,0.884643644379133,0.7574834667594849,0.8905325443786982,0.6244343891402715,0.8788321167883212,0.6154596338614648,0.8599670510708401,0.8498955795335885,0.772189349112426,0.9276018099547512,0.9702602230483272,0.6154596338614648,0.8599670510708401,0.8498955795335885,0.772189349112426,0.9276018099547512,0.9702602230483272
extrapolation_grouped__seed-43__fold-0,extrapolation_grouped,43,0,xgb_baseline,xgboost,861,21,0.6937465634648733,0.8685553512850073,0.2102992832660675,0.24149865242491364,0.8404952658412236,0.5978830943619676,0.9029733959311425,0.2927927927927928,0.7861035422343324,0.0,0.852,0.5,1.0,0.0,0.7421602787456446,0.24149865242491364,0.8404952658412236,0.5978830943619676,0.9029733959311425,0.2927927927927928,0.7861035422343324,0.24149865242491364,0.8404952658412236,0.5978830943619676,0.9029733959311425,0.2927927927927928,0.7861035422343324
extrapolation_grouped__seed-43__fold-1,extrapolation_grouped,43,1,xgb_baseline,xgboost,868,16,0.6292740841248303,0.8396918548217489,0.19915281236171722,0.2528880296182468,0.8278443113772455,0.6273330318106438,0.8253731343283582,0.4292929292929293,0.8303303303303303,0.16092735740681985,0.8744247205785667,0.5265716870194482,0.9925373134328358,0.06060606060606061,0.781433607520564,0.2359642513976467,0.8166666666666667,0.621935775667119,0.8044776119402985,0.4393939393939394,0.8292307692307692,0.2359642513976467,0.8166666666666667,0.621935775667119,0.8044776119402985,0.4393939393939394,0.8292307692307692
extrapolation_grouped__seed-43__fold-2,extrapolation_grouped,43,2,xgb_baseline,xgboost,868,21,0.701437125748503,0.8689751966034405,0.1660328358411789,0.3010718652166554,0.8060174188440221,0.6659880239520958,0.7619760479041916,0.57,0.8554621848739495,0.08475939523204382,0.8695081967213115,0.5112574850299401,0.9925149700598802,0.03,0.7736289381563594,0.27324313870653594,0.6898444647758463,0.662185628742515,0.5643712574850299,0.76,0.8870588235294118,0.27324313870653594,0.6898444647758463,0.662185628742515,0.5643712574850299,0.76,0.8870588235294118
extrapolation_grouped__seed-43__fold-3,extrapolation_grouped,43,3,xgb_baseline,xgboost,872,15,0.7044977678571429,0.8573773154238563,0.18914924561977386,0.28493722861527887,0.7932960893854749,0.6597916666666667,0.7395833333333334,0.58,0.8554216867469879,0.12497088984190122,0.8697368421052631,0.5243154761904761,0.9836309523809523,0.065,0.7794811320754716,0.2970534969068115,0.7929373996789727,0.6675595238095238,0.7351190476190477,0.6,0.8606271777003485,0.2970534969068115,0.7929373996789727,0.6675595238095238,0.7351190476190477,0.6,0.8606271777003485
extrapolation_grouped__seed-43__fold-4,extrapolation_grouped,43,4,xgb_baseline,xgboost,1018,14,0.8075756994281768,0.9233446145950367,0.17010118067264557,0.32818597538072825,0.5291214215202369,0.6631951107188088,0.3651226158038147,0.9612676056338029,0.9605734767025089,0.0,0.8378995433789954,0.5,1.0,0.0,0.7210216110019646,0.32818597538072825,0.5291214215202369,0.6631951107188088,0.3651226158038147,0.9612676056338029,0.9605734767025089,0.32818597538072825,0.5291214215202369,0.6631951107188088,0.3651226158038147,0.9612676056338029,0.9605734767025089
interpolation_holdout__seed-44__fold-0,interpolation_holdout,44,0,xgb_baseline,xgboost,898,83,0.9019797215557057,0.9670536005289092,0.1109255701303482,0.5992754818961645,0.8564397046759639,0.8402755034521479,0.7710487444608567,0.9095022624434389,0.9630996309963099,0.4669096049716789,0.8865546218487395,0.7005353669703309,0.9350073855243722,0.4660633484162896,0.8428761651131824,0.5976883223839404,0.8555008210180624,0.8395369510149248,0.7695716395864106,0.9095022624434389,0.9630314232902033,0.5976883223839404,0.8555008210180624,0.8395369510149248,0.7695716395864106,0.9095022624434389,0.9630314232902033
interpolation_stratified__seed-44__fold-0,interpolation_stratified,44,0,xgb_baseline,xgboost,898,81,0.9067953507956983,0.9692669856428542,0.11185158789157867,0.6021561371906919,0.8737092930897538,0.8338056504274247,0.8124076809453471,0.8552036199095022,0.9450171821305842,0.5088331964124675,0.8949579831932774,0.7185413422271534,0.9438700147710487,0.49321266968325794,0.8508655126498003,0.6057841696459398,0.8478260869565217,0.8472967644051144,0.7488921713441654,0.9457013574660633,0.976878612716763,0.6057841696459398,0.8478260869565217,0.8472967644051144,0.7488921713441654,0.9457013574660633,0.976878612716763
interpolation_stratified__seed-44__fold-1,interpolation_stratified,44,1,xgb_baseline,xgboost,898,80,0.9158985944110629,0.9707047215094486,0.10067911446094513,0.6076842360957947,0.8742038216560509,0.8375919848680298,0.810930576070901,0.8642533936651584,0.9481865284974094,0.5906103179644858,0.9077912794853467,0.7721482184511118,0.9379615952732644,0.6063348416289592,0.8795013850415513,0.6003766339727414,0.8585445625511039,0.8402287173249029,0.7754800590841949,0.9049773755656109,0.9615384615384616,0.6003766339727414,0.8585445625511039,0.8402287173249029,0.7754800590841949,0.9049773755656109,0.9615384615384616
