candidate_id,model_family,paper_weight,class_weight,fixed_params,weighting_policy
xgb_baseline,xgboost,none,False,"{""objective_variant"": ""logistic""}","{""class_weight"": false, ""paper_weight"": ""none"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
xgb_paper_sqrt,xgboost,sqrt,False,"{""objective_variant"": ""logistic""}","{""class_weight"": false, ""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
xgb_paper_inverse,xgboost,inverse,False,"{""objective_variant"": ""logistic""}","{""class_weight"": false, ""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
xgb_class_only,xgboost,none,True,"{""objective_variant"": ""logistic""}","{""class_weight"": true, ""paper_weight"": ""none"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
xgb_weighted_sqrt,xgboost,sqrt,True,"{""objective_variant"": ""logistic""}","{""class_weight"": true, ""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
xgb_weighted_inverse,xgboost,inverse,True,"{""objective_variant"": ""logistic""}","{""class_weight"": true, ""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
xgb_focal_sqrt,xgboost,sqrt,False,"{""focal_gamma"": 2.0, ""objective_variant"": ""focal""}","{""class_weight"": false, ""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
xgb_focal_inverse,xgboost,inverse,False,"{""focal_gamma"": 2.0, ""objective_variant"": ""focal""}","{""class_weight"": false, ""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
