candidate_id,model_family,paper_weight,class_weight,fixed_params,weighting_policy
knn_baseline,knn,none,False,{},"{""class_weight"": false, ""paper_weight"": ""none"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
knn_weighted_sqrt,knn,sqrt,True,{},"{""class_weight"": true, ""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
knn_weighted_inverse,knn,inverse,True,{},"{""class_weight"": true, ""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
knn_distance_sqrt,knn,sqrt,True,"{""weights"": ""distance""}","{""class_weight"": true, ""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
knn_distance_inverse,knn,inverse,True,"{""weights"": ""distance""}","{""class_weight"": true, ""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}"
