split_id,protocol,seed,fold,model_id,model_family,n_test_rows,n_test_papers,roc_auc,pr_auc,brier,mcc_at_mcc,f1_at_mcc,balanced_accuracy_at_mcc,sensitivity_at_mcc,specificity_at_mcc,precision_at_mcc,mcc_at_f1,f1_at_f1,balanced_accuracy_at_f1,sensitivity_at_f1,specificity_at_f1,precision_at_f1,mcc_at_balanced_accuracy,f1_at_balanced_accuracy,balanced_accuracy_at_balanced_accuracy,sensitivity_at_balanced_accuracy,specificity_at_balanced_accuracy,precision_at_balanced_accuracy,mcc_at_youden_j,f1_at_youden_j,balanced_accuracy_at_youden_j,sensitivity_at_youden_j,specificity_at_youden_j,precision_at_youden_j
lopo__seed-42__fold-86,lopo,42,86,knn_weighted_inverse,knn,16,1,1.0,1.0,0.035573756628895926,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.5,1.0,0.0,0.5,0.7745966692414834,0.8571428571428571,0.875,0.75,1.0,1.0,0.7745966692414834,0.8571428571428571,0.875,0.75,1.0,1.0
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_distance_sqrt,knn,898,79,0.8462741533381901,0.9430023857077674,0.16949904823606268,0.5138263084952027,0.8279835390946502,0.7923063555611995,0.7429837518463811,0.8416289592760181,0.9349442379182156,0.31692134815095746,0.8676171079429735,0.6167313874760221,0.9438700147710487,0.2895927601809955,0.8027638190954773,0.5060380523087634,0.810126582278481,0.7911567535774677,0.7090103397341211,0.8733031674208145,0.9448818897637795,0.5060380523087634,0.810126582278481,0.7911567535774677,0.7090103397341211,0.8733031674208145,0.9448818897637795
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,knn_distance_sqrt,knn,898,83,0.8293275496768415,0.9313948686739009,0.18206834609392739,0.466680248896304,0.7737991266375546,0.7706176437169573,0.654357459379616,0.8868778280542986,0.9465811965811965,0.0,0.8596825396825397,0.5,1.0,0.0,0.7538975501113586,0.466680248896304,0.7737991266375546,0.7706176437169573,0.654357459379616,0.8868778280542986,0.9465811965811965,0.466680248896304,0.7737991266375546,0.7706176437169573,0.654357459379616,0.8868778280542986,0.9465811965811965
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,knn_distance_sqrt,knn,898,83,0.8258018808023153,0.9279691373293231,0.17514916549808904,0.46260392059981764,0.8089330024813896,0.7638670739287647,0.7223042836041359,0.8054298642533937,0.9191729323308271,0.2681916306947378,0.8677248677248677,0.5795130232527053,0.9689807976366323,0.19004524886877827,0.7856287425149701,0.46260392059981764,0.8089330024813896,0.7638670739287647,0.7223042836041359,0.8054298642533937,0.9191729323308271,0.46260392059981764,0.8089330024813896,0.7638670739287647,0.7223042836041359,0.8054298642533937,0.9191729323308271
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,knn_distance_sqrt,knn,897,81,0.8339062709816033,0.9338852461661511,0.17766003966201643,0.4780598224759626,0.819672131147541,0.7715489458842487,0.7385524372230429,0.8045454545454546,0.9208103130755064,0.0,0.8602287166454892,0.5,1.0,0.0,0.7547380156075808,0.4950828043838615,0.8030560271646859,0.7856989391701357,0.6986706056129985,0.8727272727272727,0.9441117764471058,0.4950828043838615,0.8030560271646859,0.7856989391701357,0.6986706056129985,0.8727272727272727,0.9441117764471058
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,knn_distance_sqrt,knn,897,81,0.8472683338241989,0.9422370474471597,0.17074898544074985,0.47117039319250004,0.832,0.7624434389140271,0.7692307692307693,0.755656108597285,0.9059233449477352,0.3849851401559217,0.867043847241867,0.670596936999652,0.9068047337278107,0.4343891402714932,0.8306233062330624,0.47801912279014086,0.8253452477660439,0.7694048033414549,0.7514792899408284,0.7873303167420814,0.9153153153153153,0.47801912279014086,0.8253452477660439,0.7694048033414549,0.7514792899408284,0.7873303167420814,0.9153153153153153
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,knn_distance_sqrt,knn,897,80,0.817759511633511,0.9327917538761678,0.18987061497758065,0.4372919757761815,0.8167877320419693,0.7453010790114862,0.7485207100591716,0.7420814479638009,0.8987566607460036,0.2819338126055443,0.8589041095890411,0.6085537765402019,0.9275147928994083,0.2895927601809955,0.7997448979591837,0.4372919757761815,0.8167877320419693,0.7453010790114862,0.7485207100591716,0.7420814479638009,0.8987566607460036,0.4372919757761815,0.8167877320419693,0.7453010790114862,0.7485207100591716,0.7420814479638009,0.8987566607460036
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,knn_distance_sqrt,knn,845,21,0.6998610863493195,0.885662247273928,0.1880166449941857,0.09207305078359188,0.805701425356339,0.5398652463303024,0.8496835443037974,0.2300469483568075,0.7660485021398002,0.0,0.8557887610020312,0.5,1.0,0.0,0.7479289940828402,0.09207305078359188,0.805701425356339,0.5398652463303024,0.8496835443037974,0.2300469483568075,0.7660485021398002,0.09207305078359188,0.805701425356339,0.5398652463303024,0.8496835443037974,0.2300469483568075,0.7660485021398002
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,knn_distance_sqrt,knn,1024,15,0.6394361058995206,0.7914155873322759,0.2308458396653189,0.30164098484544793,0.6909975669099757,0.6679885155494911,0.5772357723577236,0.7587412587412588,0.8606060606060606,0.0,0.8376844494892168,0.5,1.0,0.0,0.720703125,0.30164098484544793,0.6909975669099757,0.6679885155494911,0.5772357723577236,0.7587412587412588,0.8606060606060606,0.30164098484544793,0.6909975669099757,0.6679885155494911,0.5772357723577236,0.7587412587412588,0.8606060606060606
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,knn_distance_sqrt,knn,863,20,0.6702401887841758,0.8450724491425577,0.1945119502408952,0.2246515352088011,0.729776247848537,0.6311869654747411,0.6404833836858006,0.6218905472636815,0.848,0.0,0.8681967213114754,0.5,1.0,0.0,0.7670915411355735,0.2246515352088011,0.729776247848537,0.6311869654747411,0.6404833836858006,0.6218905472636815,0.848,0.2246515352088011,0.729776247848537,0.6311869654747411,0.6404833836858006,0.6218905472636815,0.848
