split_id,protocol,seed,fold,model_id,selected_hyperparameters
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline,"{""leaf_size"": 60, ""n_neighbors"": 9, ""p"": 2, ""weights"": ""distance""}"
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,knn_baseline,"{""leaf_size"": 60, ""n_neighbors"": 9, ""p"": 1, ""weights"": ""uniform""}"
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,knn_baseline,"{""leaf_size"": 60, ""n_neighbors"": 15, ""p"": 1, ""weights"": ""uniform""}"
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,knn_baseline,"{""leaf_size"": 15, ""n_neighbors"": 9, ""p"": 1, ""weights"": ""distance""}"
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,knn_baseline,"{""leaf_size"": 60, ""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}"
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,knn_baseline,"{""leaf_size"": 30, ""n_neighbors"": 25, ""p"": 1, ""weights"": ""distance""}"
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,knn_baseline,"{""leaf_size"": 30, ""n_neighbors"": 60, ""p"": 2, ""weights"": ""distance""}"
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,knn_baseline,"{""leaf_size"": 60, ""n_neighbors"": 25, ""p"": 2, ""weights"": ""distance""}"
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,knn_baseline,"{""leaf_size"": 30, ""n_neighbors"": 60, ""p"": 1, ""weights"": ""distance""}"
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,knn_baseline,"{""leaf_size"": 60, ""n_neighbors"": 60, ""p"": 1, ""weights"": ""uniform""}"
extrapolation_grouped__seed-42__fold-4,extrapolation_grouped,42,4,knn_baseline,"{""leaf_size"": 15, ""n_neighbors"": 60, ""p"": 1, ""weights"": ""distance""}"
interpolation_holdout__seed-43__fold-0,interpolation_holdout,43,0,knn_baseline,"{""leaf_size"": 15, ""n_neighbors"": 25, ""p"": 1, ""weights"": ""distance""}"
interpolation_stratified__seed-43__fold-0,interpolation_stratified,43,0,knn_baseline,"{""leaf_size"": 15, ""n_neighbors"": 9, ""p"": 1, ""weights"": ""uniform""}"
interpolation_stratified__seed-43__fold-1,interpolation_stratified,43,1,knn_baseline,"{""leaf_size"": 15, ""n_neighbors"": 15, ""p"": 1, ""weights"": ""uniform""}"
interpolation_stratified__seed-43__fold-2,interpolation_stratified,43,2,knn_baseline,"{""leaf_size"": 30, ""n_neighbors"": 9, ""p"": 1, ""weights"": ""distance""}"
interpolation_stratified__seed-43__fold-3,interpolation_stratified,43,3,knn_baseline,"{""leaf_size"": 60, ""n_neighbors"": 15, ""p"": 2, ""weights"": ""distance""}"
interpolation_stratified__seed-43__fold-4,interpolation_stratified,43,4,knn_baseline,"{""leaf_size"": 15, ""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}"
extrapolation_grouped__seed-43__fold-0,extrapolation_grouped,43,0,knn_baseline,"{""leaf_size"": 15, ""n_neighbors"": 60, ""p"": 1, ""weights"": ""distance""}"
extrapolation_grouped__seed-43__fold-1,extrapolation_grouped,43,1,knn_baseline,"{""leaf_size"": 30, ""n_neighbors"": 40, ""p"": 1, ""weights"": ""uniform""}"
extrapolation_grouped__seed-43__fold-2,extrapolation_grouped,43,2,knn_baseline,"{""leaf_size"": 60, ""n_neighbors"": 25, ""p"": 1, ""weights"": ""distance""}"
extrapolation_grouped__seed-43__fold-3,extrapolation_grouped,43,3,knn_baseline,"{""leaf_size"": 60, ""n_neighbors"": 25, ""p"": 1, ""weights"": ""distance""}"
extrapolation_grouped__seed-43__fold-4,extrapolation_grouped,43,4,knn_baseline,"{""leaf_size"": 60, ""n_neighbors"": 40, ""p"": 2, ""weights"": ""distance""}"
interpolation_holdout__seed-44__fold-0,interpolation_holdout,44,0,knn_baseline,"{""leaf_size"": 15, ""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}"
interpolation_stratified__seed-44__fold-0,interpolation_stratified,44,0,knn_baseline,"{""leaf_size"": 60, ""n_neighbors"": 15, ""p"": 1, ""weights"": ""uniform""}"
interpolation_stratified__seed-44__fold-1,interpolation_stratified,44,1,knn_baseline,"{""leaf_size"": 30, ""n_neighbors"": 9, ""p"": 2, ""weights"": ""distance""}"
