protocol,model_a,model_b,paired_fold_count,delta_roc_auc,wilcoxon_p_roc_auc,delta_pr_auc,wilcoxon_p_pr_auc,delta_brier,wilcoxon_p_brier,delta_mcc_at_mcc,wilcoxon_p_mcc_at_mcc,delta_f1_at_f1,wilcoxon_p_f1_at_f1,delta_balanced_accuracy_at_balanced_accuracy,wilcoxon_p_balanced_accuracy_at_balanced_accuracy,caveat
extrapolation_grouped,decision_tree_all,decision_tree_physics,15,-0.0048246914902086765,0.93408203125,-0.0032011728639974885,0.97796630859375,-0.0005051676305263413,1.0,-0.009246695276313173,0.890380859375,0.0005741784164244645,0.6001794871405538,-0.019013624499234636,0.5614013671875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,decision_tree_all,decision_tree_physics,3,0.023102431017655856,0.5,0.009749192132780174,0.75,-0.013111746779269545,0.5,0.044772725573907636,0.5,0.0067341496953204905,0.25,0.029072398190045257,0.5,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,decision_tree_all,decision_tree_physics,15,0.0148612163529404,0.01806640625,0.005651747171321856,0.12054443359375,-0.008326159315968397,0.0042724609375,0.017276468459428387,0.0301513671875,0.006143418805098078,0.01507568359375,0.01641213344973201,0.0006103515625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,decision_tree_physics,86,-0.05785344849932401,0.11986346888393355,-0.013405397997847538,0.09584874250402708,-0.009339855961042202,0.5253406656279241,-0.01546814906202805,0.6268449135173177,-0.006793469268945526,0.49819405658410876,0.06631288662171277,0.08348285657950338,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
