feature,importance_mean,importance_std,held_out_roc_auc
fuel_pyrolysis_t_k,0.07554934034587275,0.0045071147619355195,0.7212812741427468
fuel_cp_j_kgk,0.034052972900695325,0.0028086726512337856,0.7212812741427468
ignition_time_s,0.03386670232364656,0.005794583275851118,0.7212812741427468
sample_dim_3_m,0.025302712901883878,0.0031515583404489868,0.7212812741427468
flow_speed_abs_m_s,0.021371159446128274,0.005872098755417094,0.7212812741427468
thermal_diffusion_time_s,0.014914646104474983,0.0021838641754423865,0.7212812741427468
fuel_alpha_m2_s,0.012358672074641936,0.0021089591348475976,0.7212812741427468
peclet,0.010721979556664896,0.0024063507628176864,0.7212812741427468
half_thickness_m,0.008701045938075741,0.001478561551780424,0.7212812741427468
fuel_density_kg_m3,0.0056874740001188915,0.0007591410132137387,0.7212812741427468
flow_velocity_m_s,0.004856406370713756,0.00436956617105048,0.7212812741427468
core_cp_j_kgk,0.004033324419088369,0.0009007508972509995,0.7212812741427468
sample_dim_2_m,0.003698297379211973,0.0010767590919430153,0.7212812741427468
oxygen,0.003551398050751797,0.010840679977779152,0.7212812741427468
geometry_cat,0.0025043456944197017,0.000426016431801606,0.7212812741427468
core_k_w_mk,0.0022549325488797844,0.00040882699050933226,0.7212812741427468
core_density_kg_m3,0.0016643638200511013,0.0004961015906419687,0.7212812741427468
gravity_g,0.0008007963392167472,0.0028621038594110353,0.7212812741427468
core_volumetric_heat_capacity_j_m3k,2.3028466155572412e-05,0.0002601065866701925,0.7212812741427468
diluent_cat,0.0,0.0,0.7212812741427468
ignition_power_w,-8.728531526709938e-05,0.0003416946617461986,0.7212812741427468
ignition_method_cat,-0.00033019849052117747,0.00044178009644084144,0.7212812741427468
gravity_regime_cat,-0.0005537974683544,0.0010060028562637866,0.7212812741427468
fuel_volumetric_heat_capacity_j_m3k,-0.0009140815356272536,0.0010726281602680997,0.7212812741427468
gas_nu_m2_s,-0.0011621946871099686,0.0009688063212083568,0.7212812741427468
flow_direction_cat,-0.0012550514054792627,0.0007914681056639511,0.7212812741427468
gas_molar_mass,-0.0014452219646995611,0.005540486401327502,0.7212812741427468
gas_cp_j_kgk,-0.0020801762049087458,0.0014177292161808663,0.7212812741427468
fuel_k_w_mk,-0.002204789920960332,0.0015251087271595824,0.7212812741427468
pressure_pa,-0.0025823453378498785,0.001075470192523347,0.7212812741427468
characteristic_length_m,-0.0028148585606465825,0.0008610876570612105,0.7212812741427468
reynolds,-0.0033901987876626847,0.0041122953963599026,0.7212812741427468
gas_k_w_mk,-0.005403889582219023,0.001712580802461441,0.7212812741427468
gas_density_kg_m3,-0.0055470746419444775,0.00302225732587445,0.7212812741427468
gas_alpha_m2_s,-0.008285976406964962,0.0015065923945911592,0.7212812741427468
sample_dim_1_m,-0.009339714447019688,0.0015048280219295675,0.7212812741427468
prandtl,-0.04316110269210194,0.00824702642762803,0.7212812741427468
