model_id,model_family,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,fold_count
xgb_paper_sqrt,xgboost,0.9076032925880564,0.0102050017659925,0.9687442848296351,0.0038524092132894,0.1063035652041435,15
xgb_baseline,xgboost,0.905762020775229,0.009100363799776,0.968151178432964,0.0036473604640828,0.1076305026809374,15
xgb_weighted_sqrt,xgboost,0.9056723032978228,0.0087775686956212,0.967906531365123,0.0036815506902377,0.1175624594092369,15
xgb_class_only,xgboost,0.9055249971600128,0.008321661713619,0.9679546279567142,0.0033144525005227,0.1176925048232078,15
xgb_weighted_inverse,xgboost,0.9009788764704214,0.0087835462449647,0.9661476298419048,0.0036173650741552,0.1212053671479225,15
xgb_paper_inverse,xgboost,0.9008077644103888,0.0100774224616506,0.9664040099137444,0.0037141305436977,0.1093363856275876,15
mlp_baseline,mlp,0.8707616757846163,0.016157172705748,0.9508739106745544,0.0078301743530473,0.1317877273230808,15
mlp_weighted_sqrt,mlp,0.866058498413825,0.0117754126076172,0.9542402760918812,0.005407395223516,0.1544276359321313,15
mlp_focal_sqrt,mlp,0.8608961488444999,0.0162574897309242,0.9494215309205843,0.0081807316835551,0.1373676021131196,15
svm_weighted_sqrt,svm,0.8608163801813639,0.0125089312396009,0.9517590578306088,0.0049184229989963,0.1794259517947334,15
svm_weighted_inverse,svm,0.8567214216558054,0.0119217600640755,0.9502204724028704,0.0049255772381175,0.1615935579180389,15
mlp_weighted_inverse,mlp,0.8538847425019682,0.0148997102396103,0.9474193902731244,0.0075901132516826,0.1600510879025863,15
dt_baseline,decision_tree,0.8530928574750234,0.0192356434196561,0.9371676807382452,0.0127482795778361,0.1296060785301705,15
dt_weighted_sqrt,decision_tree,0.8480880009949593,0.0164428973041453,0.9366885691613432,0.009967959720313,0.1565739351412088,15
mlp_focal_inverse,mlp,0.8466247778205745,0.0147867205058134,0.9444651885709228,0.0083331303013808,0.1439960461821935,15
dt_weighted_inverse,decision_tree,0.837628545789432,0.0124286525258067,0.9342326176871458,0.0067934481580187,0.1637857703497233,15
knn_weighted_sqrt,knn,0.8324698490410892,0.0121970166268981,0.9339745534786816,0.0063589952811379,0.1777798469326558,15
knn_distance_sqrt,knn,0.8318702583767383,0.0114103997584491,0.9336953241576978,0.0059770518670568,0.1784257494841898,15
knn_weighted_inverse,knn,0.8270975297228023,0.016077173740692,0.9324955098898988,0.0071552958089839,0.1793336272909945,15
knn_distance_inverse,knn,0.8250998548970911,0.0177100071966195,0.9298713401893182,0.0103076780770839,0.1800680066726343,15
knn_baseline,knn,0.8223540076075114,0.0164384731847367,0.9251101592974282,0.0098180817052094,0.1481359781789306,15
svm_baseline,svm,0.8221811666754986,0.0159611283279388,0.9315299042668168,0.0079715085152023,0.1563125490338953,15
svm_linear_sqrt,svm,0.7578678133866279,0.0159215274853638,0.9032479071095608,0.0106715079021251,0.1973561136989853,15
svm_linear_inverse,svm,0.7555498170213485,0.016311350621269,0.9003544754227489,0.0099848616626985,0.1796481133209791,15
xgb_focal_inverse,xgboost,0.4987398936395373,0.0031630677422028,0.7539222235998653,0.0005381353736105,0.7540308713912964,15
xgb_focal_sqrt,xgboost,0.4960043876132957,0.0111095860629331,0.753271214059565,0.0023274374350827,0.7539553006490072,15
