model_id,model_family,extrapolation_grouped,interpolation_stratified,roc_auc_drop
xgb_focal_inverse,xgboost,0.4997374239911553,0.4987398936395373,-0.0009975303516179812
xgb_focal_sqrt,xgboost,0.480191741635822,0.4960043876132957,0.01581264597747367
svm_linear_inverse,svm,0.6809547197724372,0.7555498170213485,0.07459509724891134
svm_linear_sqrt,svm,0.6723896375902007,0.7578678133866279,0.08547817579642725
knn_baseline,knn,0.6651463609558912,0.8223540076075114,0.15720764665162024
svm_baseline,svm,0.6640815304137654,0.8221811666754986,0.15809963626173318
svm_weighted_inverse,svm,0.693403825635117,0.8567214216558054,0.1633175960206884
knn_weighted_sqrt,knn,0.6688272377283989,0.8324698490410892,0.1636426113126903
knn_distance_sqrt,knn,0.6633459979321833,0.8318702583767383,0.16852426044455504
svm_weighted_sqrt,svm,0.6792499642955029,0.8608163801813639,0.18156641588586098
knn_distance_inverse,knn,0.6395572565200972,0.8250998548970911,0.18554259837699394
xgb_baseline,xgboost,0.718273506561592,0.905762020775229,0.1874885142136371
knn_weighted_inverse,knn,0.6309239015153079,0.8270975297228023,0.1961736282074944
xgb_class_only,xgboost,0.7036263916773328,0.9055249971600128,0.20189860548268002
xgb_paper_sqrt,xgboost,0.7003545608260947,0.9076032925880564,0.20724873176196168
xgb_paper_inverse,xgboost,0.6934170842049484,0.9008077644103888,0.20739068020544038
dt_weighted_inverse,decision_tree,0.6298324456965456,0.837628545789432,0.2077961000928864
xgb_weighted_inverse,xgboost,0.679680501362876,0.9009788764704214,0.22129837510754535
xgb_weighted_sqrt,xgboost,0.6842118887487982,0.9056723032978228,0.22146041454902454
dt_weighted_sqrt,decision_tree,0.6263248236545661,0.8480880009949593,0.2217631773403932
dt_baseline,decision_tree,0.6116801046863635,0.8530928574750234,0.24141275278865992
