model_id,model_family,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,fold_count
xgb_baseline,xgboost,0.718273506561592,0.0443586901249609,0.876668628578588,0.0298482157439261,0.179146804412206,15
xgb_class_only,xgboost,0.7036263916773328,0.0447074977880125,0.8697435391832972,0.0308669490210025,0.1873396247625351,15
xgb_paper_sqrt,xgboost,0.7003545608260947,0.0364989308076393,0.8649688531536358,0.0304516895923952,0.1866251995166142,15
xgb_paper_inverse,xgboost,0.6934170842049484,0.0394156226331735,0.8616619865613325,0.0249138180824408,0.194971630970637,15
svm_weighted_inverse,svm,0.693403825635117,0.0455504300882486,0.878679709317153,0.0218202863959672,0.1827680056968836,15
mlp_weighted_sqrt,mlp,0.6927810182961995,0.0630170104848939,0.8607257565811037,0.0350211091627807,0.2362573135023721,15
xgb_weighted_sqrt,xgboost,0.6842118887487982,0.0454598218599218,0.8555069467752247,0.0263762594703393,0.1964559316635132,15
mlp_baseline,mlp,0.6814345149502865,0.0634934958614356,0.8561978500262654,0.0414633376556001,0.2320985693836988,15
svm_linear_inverse,svm,0.6809547197724372,0.0808250553073767,0.8643889317458326,0.0473704436654046,0.1883974075142198,15
xgb_weighted_inverse,xgboost,0.679680501362876,0.0385190796223517,0.8526201895403538,0.0297402386226963,0.2028925418853759,15
svm_weighted_sqrt,svm,0.6792499642955029,0.043333836987515,0.8674610621652641,0.0278158163573676,0.1980566664742295,15
mlp_focal_sqrt,mlp,0.674061756533656,0.0496559229735214,0.8568825426082765,0.0397304158622635,0.2233084775439197,15
svm_linear_sqrt,svm,0.6723896375902007,0.0923925909304469,0.854975923666977,0.0568528706318523,0.2033165532075253,15
mlp_weighted_inverse,mlp,0.6691542749348499,0.0533630617330827,0.8530166642351502,0.0316545276949357,0.2318990470667323,15
knn_weighted_sqrt,knn,0.6688272377283989,0.0571294002498455,0.8470882299942921,0.0406508495638655,0.2205309522839547,15
knn_baseline,knn,0.6651463609558912,0.0760069907376591,0.847754513258803,0.0499172434428185,0.1862189574973488,15
svm_baseline,svm,0.6640815304137654,0.0687112429837335,0.8579570693216693,0.0403333630670241,0.1765012046780157,15
knn_distance_sqrt,knn,0.6633459979321833,0.0594379859270759,0.8460592066584363,0.0392695528752785,0.2207050931584996,15
mlp_focal_inverse,mlp,0.6571911177413087,0.0756307839773055,0.8487229998549976,0.0444154792993553,0.2359561188400149,15
knn_distance_inverse,knn,0.6395572565200972,0.043512554168656,0.8295516755530029,0.033568008200141,0.2253392432932259,15
knn_weighted_inverse,knn,0.6309239015153079,0.0530929828974149,0.826199303294808,0.0394360957773834,0.234808198203907,15
dt_weighted_inverse,decision_tree,0.6298324456965456,0.099617184178194,0.8210064322056748,0.057926578509858,0.2461826960287067,15
dt_weighted_sqrt,decision_tree,0.6263248236545661,0.0750363331278779,0.8145661022410251,0.0414826162498127,0.225612695384607,15
dt_baseline,decision_tree,0.6116801046863635,0.0710988226100944,0.8105480845177716,0.0389807119038527,0.2081303250522558,15
xgb_focal_inverse,xgboost,0.4997374239911553,0.001016952509369,0.755387526111813,0.0202195465407529,0.7550832311312358,15
xgb_focal_sqrt,xgboost,0.480191741635822,0.0385749105507162,0.7515724242405476,0.0182886306252517,0.7550774614016215,15
