feature,importance_mean,importance_std,held_out_roc_auc
fuel_pyrolysis_t_k,0.09802140904498724,0.005844000568540999,0.7883386818803114
sample_dim_3_m,0.03554128038271826,0.004357180486824461,0.7883386818803114
fuel_cp_j_kgk,0.030550788910679277,0.002444096930154934,0.7883386818803114
ignition_time_s,0.02465847298983782,0.005615956132484297,0.7883386818803114
thermal_diffusion_time_s,0.020141550781482165,0.0021929510646795628,0.7883386818803114
peclet,0.019893994770309665,0.0034115821230791673,0.7883386818803114
flow_speed_abs_m_s,0.018487586913888465,0.007068232546266547,0.7883386818803114
half_thickness_m,0.010998506863968688,0.0013522119936591889,0.7883386818803114
geometry_cat,0.008547646639329675,0.0009773153460873728,0.7883386818803114
pressure_pa,0.006793768942770589,0.0010224018682349655,0.7883386818803114
core_cp_j_kgk,0.006221400130742299,0.0009966152004090413,0.7883386818803114
fuel_alpha_m2_s,0.004689078564212301,0.0015501148140296013,0.7883386818803114
flow_velocity_m_s,0.0031181286028406975,0.005701109077550712,0.7883386818803114
gas_molar_mass,0.0024985885778807835,0.0050338011808663385,0.7883386818803114
reynolds,0.0024510459380757523,0.0021995232362221383,0.7883386818803114
gravity_regime_cat,0.0023487178344327787,0.0007531204657583714,0.7883386818803114
gravity_g,0.0021691329411065775,0.0037834411440888023,0.7883386818803114
sample_dim_2_m,0.0019509196529387484,0.0007576445783304354,0.7883386818803114
characteristic_length_m,0.0016339068164259896,0.0010955683839287743,0.7883386818803114
fuel_density_kg_m3,0.0013089083021334824,0.0012101170460921762,0.7883386818803114
core_volumetric_heat_capacity_j_m3k,0.000998581149343336,0.0001948311028476887,0.7883386818803114
flow_direction_cat,0.0007768393058774636,0.000836938768403905,0.7883386818803114
ignition_method_cat,0.00017141350210974626,0.00028938765484874115,0.7883386818803114
core_density_kg_m3,8.041391810781895e-05,0.00022588924756508554,0.7883386818803114
gas_k_w_mk,6.072829381355005e-05,0.0010922484977223248,0.7883386818803114
diluent_cat,0.0,0.0,0.7883386818803114
oxygen,-3.7142687347685446e-05,0.007983725481494957,0.7883386818803114
core_k_w_mk,-0.00010585665894097818,0.00016805621404908174,0.7883386818803114
fuel_k_w_mk,-0.00020632762821651274,0.0005415992325035168,0.7883386818803114
ignition_power_w,-0.0002575845367564111,0.0003668561506310409,0.7883386818803114
gas_nu_m2_s,-0.000512011945088231,0.0007074767551759441,0.7883386818803114
fuel_volumetric_heat_capacity_j_m3k,-0.0012134515956498172,0.0011926806726254744,0.7883386818803114
gas_cp_j_kgk,-0.0012394514767932352,0.0015399566014336714,0.7883386818803114
gas_alpha_m2_s,-0.0027572873952575903,0.00203230094289927,0.7883386818803114
sample_dim_1_m,-0.0042277663873536205,0.0016149523538837643,0.7883386818803114
gas_density_kg_m3,-0.006196885957092746,0.0038962117904693945,0.7883386818803114
prandtl,-0.014111064063707107,0.007552608221359201,0.7883386818803114
