feature,importance_mean,importance_std,held_out_roc_auc
oxygen_fraction,0.12750938265931372,0.020012003796120257,0.7939644607843137
flow_velocity_mm_s,0.0467311963848039,0.008339596917792578,0.7939644607843137
fuel_cp_j_kgk,0.018680491727941156,0.002485095642254856,0.7939644607843137
internal_dim_1_mm,0.0159005438112745,0.0028787694255858354,0.7939644607843137
fuel_pyrolysis_t_k,0.015846737132352927,0.0018831080489294485,0.7939644607843137
gravity_g,0.014421913296568589,0.0047101253234249135,0.7939644607843137
sample_dim_min_mm,0.011430951286764652,0.0028132503615328755,0.7939644607843137
flow_speed_abs_mm_s,0.009565333946078414,0.004138052569593786,0.7939644607843137
facility_cat,0.007583486519607813,0.0015750430606083538,0.7939644607843137
internal_dim_3_mm,0.0071359911151960605,0.0022401117806612773,0.7939644607843137
ignition_time_s,0.0070044424019607586,0.003283539514454239,0.7939644607843137
gas_cp_j_kgk,0.006875765931372529,0.002781607252720802,0.7939644607843137
gas_k_w_mk,0.004855621936274474,0.0034570316173065684,0.7939644607843137
fuel_k_w_mk,0.0035916436887254545,0.0010916960142829694,0.7939644607843137
gas_alpha_m2_s,0.0016618795955882283,0.0004920891032954023,0.7939644607843137
core_density_kg_m3,0.0015714996936274205,0.002055036488749856,0.7939644607843137
pressure_kpa,0.0008656939338235248,0.001013954284419188,0.7939644607843137
gas_nu_m2_s,0.0005252374387254733,0.00027401462824789153,0.7939644607843137
core_diameter_mm,0.00046396292892154635,0.00017522522184567623,0.7939644607843137
flow_direction_cat,0.00031460631127452345,5.736114418256898e-05,0.7939644607843137
core_k_w_mk,0.0002437576593137092,0.00021672458462317475,0.7939644607843137
sample_dim_mean_mm,0.00015356924019607198,0.0011665550888050704,0.7939644607843137
diluent_cat,4.538143382349924e-05,6.770539421993978e-05,0.7939644607843137
log10_gravity_g,0.0,0.0,0.7939644607843137
sample_dim_count,0.0,0.0,0.7939644607843137
insulation_thickness_mm,0.0,0.0,0.7939644607843137
outer_diameter_mm,0.0,0.0,0.7939644607843137
fuel_density_kg_m3,-9.440104166668628e-05,0.001838082552909816,0.7939644607843137
ignition_power_w,-0.00020163143382355696,0.0008453190748948051,0.7939644607843137
core_cp_j_kgk,-0.0005214077818627594,0.0010944959690458891,0.7939644607843137
gas_density_kg_m3,-0.0009279258578431704,0.010502160099249156,0.7939644607843137
sample_dim_max_mm,-0.0013838465073529593,0.00035025474135722267,0.7939644607843137
internal_geometry_cat,-0.00161956188725495,0.0006112667551966304,0.7939644607843137
internal_dim_mean_mm,-0.001634306066176483,0.002078890133728339,0.7939644607843137
ignition_method_cat,-0.00196289062500003,0.0009758650676558765,0.7939644607843137
sample_dim_2_mm,-0.001987783394607867,0.000729892469822452,0.7939644607843137
geometry_cat,-0.002059397977941202,0.0008590209874227584,0.7939644607843137
gas_molar_mass,-0.00225949754901964,0.0025175725094876244,0.7939644607843137
internal_dim_2_mm,-0.002307942708333377,0.002056555302975266,0.7939644607843137
sample_dim_3_mm,-0.0029827282475490156,0.0016445132629088197,0.7939644607843137
fuel_alpha_m2_s,-0.003011642156862748,0.001405928256208046,0.7939644607843137
ignition_energy_j,-0.0032490808823529725,0.002285497376558778,0.7939644607843137
gravity_regime_cat,-0.0041316253063725435,0.0014551360808899183,0.7939644607843137
sample_dim_1_mm,-0.004570121017156881,0.001214859796992327,0.7939644607843137
