protocol,model_a,model_b,paired_fold_count,delta_roc_auc,wilcoxon_p_roc_auc,delta_pr_auc,wilcoxon_p_pr_auc,delta_brier,wilcoxon_p_brier,delta_mcc_at_mcc,wilcoxon_p_mcc_at_mcc,delta_f1_at_f1,wilcoxon_p_f1_at_f1,delta_balanced_accuracy_at_balanced_accuracy,wilcoxon_p_balanced_accuracy_at_balanced_accuracy,caveat
extrapolation_grouped,xgb_all_class_paper_weighted,xgb_all_focal_class_paper_weighted,15,0.2286197435792322,6.103515625e-05,0.1297214985999978,6.103515625e-05,-0.5325153897205989,6.103515625e-05,0.3064178266086334,6.103515625e-05,-0.0030698299327675056,0.1095109374886408,0.16290010213086564,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_all_class_paper_weighted,xgb_all_unweighted,15,-0.001106598630027659,0.803955078125,-0.0007307152421117384,0.890380859375,0.012195542454719543,0.10699462890625,0.028169137359150036,0.207763671875,-0.0010069125866137543,0.6566419342620566,0.002039442421571428,0.638671875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_all_class_paper_weighted,xgb_physics_class_paper_weighted_monotone_o2,15,0.005756747694697806,0.7197265625,0.008859613849771202,0.638671875,0.007659261425336202,0.15142822265625,-0.006867206019479743,0.93408203125,-0.00024002093606320478,0.916511907863894,-0.007481523220339385,0.5614013671875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_all_class_paper_weighted,xgb_physics_focal_class_paper_weighted,15,0.26512802226032445,6.103515625e-05,0.14066971220788338,6.103515625e-05,-0.5415705313285192,6.103515625e-05,0.35923850733928825,6.103515625e-05,-0.0030698299327675056,0.1095109374886408,0.18591429554065794,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_all_class_paper_weighted,xgb_physics_paper_bagging,15,0.0013768835087632307,0.45428466796875,0.005910048372125772,0.359130859375,0.017650156219800314,0.02154541015625,0.05971474206851124,0.0946044921875,-0.0010535867548569684,0.5994873046875,-0.0021803728456223875,0.97796630859375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_all_class_paper_weighted,xgb_physics_unweighted,15,-0.0035293026595842954,1.0,0.0010484446681733688,0.97796630859375,0.02081294357776642,0.0067138671875,0.005493169832363407,0.846923828125,0.0019112262943727623,0.38235208985751545,-0.009415050879160584,0.5994873046875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_all_focal_class_paper_weighted,xgb_all_unweighted,15,-0.2297263422092599,6.103515625e-05,-0.13045221384210953,6.103515625e-05,0.5447109321753184,6.103515625e-05,-0.2782486892494834,6.103515625e-05,0.002062917346153751,0.5302845968336095,-0.16086065970929422,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_all_focal_class_paper_weighted,xgb_physics_class_paper_weighted_monotone_o2,15,-0.22286299588453437,6.103515625e-05,-0.12086188475022658,6.103515625e-05,0.5401746511459351,6.103515625e-05,-0.3132850326281132,6.103515625e-05,0.0028298089967043008,0.09096894797535775,-0.17038162535120502,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_all_focal_class_paper_weighted,xgb_physics_focal_class_paper_weighted,15,0.036508278681092236,0.034170472692229406,0.010948213607885596,0.07118923429208965,-0.00905514160792033,0.3862707203664827,0.05282068073065484,0.12819017434510785,0.0,1.0,0.023014193409792265,0.17629637444051116,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_all_focal_class_paper_weighted,xgb_physics_paper_bagging,15,-0.22724286007046895,6.103515625e-05,-0.12381145022787203,6.103515625e-05,0.5501655459403991,6.103515625e-05,-0.2467030845401222,6.103515625e-05,0.002016243177910537,0.5076243443095237,-0.1650804749764881,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_all_focal_class_paper_weighted,xgb_physics_unweighted,15,-0.23214904623881646,6.103515625e-05,-0.1286730539318244,6.103515625e-05,0.5533283332983653,6.103515625e-05,-0.30092465677627,6.103515625e-05,0.004981056227140268,0.03569190011680441,-0.17231515301002623,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
