model_id,model_family,feature_set,protocol,fold_count,sample_count,paper_count_sum,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,mcc_at_mcc_mean,mcc_at_mcc_std,f1_at_mcc_mean,f1_at_mcc_std,balanced_accuracy_at_mcc_mean,balanced_accuracy_at_mcc_std,sensitivity_at_mcc_mean,sensitivity_at_mcc_std,specificity_at_mcc_mean,specificity_at_mcc_std,precision_at_mcc_mean,precision_at_mcc_std,mcc_at_f1_mean,mcc_at_f1_std,f1_at_f1_mean,f1_at_f1_std,balanced_accuracy_at_f1_mean,balanced_accuracy_at_f1_std,sensitivity_at_f1_mean,sensitivity_at_f1_std,specificity_at_f1_mean,specificity_at_f1_std,precision_at_f1_mean,precision_at_f1_std,mcc_at_balanced_accuracy_mean,mcc_at_balanced_accuracy_std,f1_at_balanced_accuracy_mean,f1_at_balanced_accuracy_std,balanced_accuracy_at_balanced_accuracy_mean,balanced_accuracy_at_balanced_accuracy_std,sensitivity_at_balanced_accuracy_mean,sensitivity_at_balanced_accuracy_std,specificity_at_balanced_accuracy_mean,specificity_at_balanced_accuracy_std,precision_at_balanced_accuracy_mean,precision_at_balanced_accuracy_std,mcc_at_youden_j_mean,mcc_at_youden_j_std,f1_at_youden_j_mean,f1_at_youden_j_std,balanced_accuracy_at_youden_j_mean,balanced_accuracy_at_youden_j_std,sensitivity_at_youden_j_mean,sensitivity_at_youden_j_std,specificity_at_youden_j_mean,specificity_at_youden_j_std,precision_at_youden_j_mean,precision_at_youden_j_std
xgb_all_class_paper_weighted,xgboost,all,extrapolation_grouped,15,13503,258,0.718995861685896,0.046498700745775924,0.88227894652781,0.024281562526989944,0.19562327563762666,0.02648683725606503,0.2890979023708191,0.08290010022112267,0.7246060383319715,0.08759168990979234,0.6603922672514201,0.0444716724331835,0.6356957186575539,0.1354370618148329,0.6850888158452856,0.13875139230061517,0.868197787618677,0.035509207771406016,0.07829591106987628,0.08651846389400374,0.8573186010502519,0.015379471003981822,0.5192197291029672,0.027008710434001937,0.9798789866325178,0.029503847292317052,0.05856047157341652,0.07972710986809324,0.7628823782481763,0.02460742150227035,0.2726040286241677,0.07834206089648157,0.6810434541138028,0.09072365559070397,0.6537036124247749,0.0431917491891933,0.568858271448488,0.1267794610644847,0.7385489534010615,0.11907417510473914,0.876518754845969,0.036343710366427445,0.2726040286241677,0.07834206089648157,0.6810434541138028,0.09072365559070397,0.6537036124247749,0.0431917491891933,0.568858271448488,0.1267794610644847,0.7385489534010615,0.11907417510473914,0.876518754845969,0.036343710366427445
xgb_all_class_paper_weighted,xgboost,all,interpolation_holdout,3,2703,247,0.9148866560198741,0.0018923617905914191,0.9725598231643561,0.0016861267130297197,0.11511574188868205,0.005608165534101532,0.5991046974830131,0.021172187889034758,0.8714616387163551,0.0028988444936056943,0.8330316742081448,0.01722830624127521,0.8078431372549019,0.017667471853862835,0.8582202111613877,0.05205259103088203,0.9465150073396726,0.017643057244208466,0.5125536721231679,0.07372213018710118,0.8932647421439461,0.010278782316002762,0.7299019607843137,0.05117050948941653,0.930392156862745,0.023909310584818013,0.5294117647058824,0.11997351659332897,0.8598485604087883,0.029219882154429055,0.6068742558512339,0.005704324207522,0.8537623143965162,0.002363602338678209,0.8467006033182504,0.003397590741127461,0.7612745098039215,0.004245222567570827,0.9321266968325791,0.00783733397089987,0.9718516615187172,0.0030980539575281543,0.6068742558512339,0.005704324207522,0.8537623143965162,0.002363602338678209,0.8467006033182504,0.003397590741127461,0.7612745098039215,0.004245222567570827,0.9321266968325791,0.00783733397089987,0.9718516615187172,0.0030980539575281543
xgb_all_class_paper_weighted,xgboost,all,interpolation_stratified,15,13503,1215,0.912703426848185,0.007238087494798539,0.971302362101553,0.003160953416563082,0.11379990329345067,0.005238333012913291,0.613933748933084,0.015939851374278106,0.8682372962542074,0.01103153124789977,0.845113294326454,0.008749917063787633,0.7930923503421989,0.02306360051963478,0.897134238310709,0.02929800817769547,0.9598222670771622,0.01035081971076528,0.5125174804605899,0.025725463401518215,0.8950984805131219,0.004408290617622703,0.7208161623094914,0.024983538279916243,0.942084813306766,0.021057324592669874,0.49954751131221725,0.06861904473639205,0.85314913042038,0.015049202820978916,0.6079053482933734,0.022722300478462867,0.8555002744385708,0.013356860759964964,0.846355250268228,0.01142461744442753,0.7654103497068934,0.021654237550423526,0.9273001508295627,0.016086017550959165,0.9700831805478491,0.006252779722715848,0.6079053482933734,0.022722300478462867,0.8555002744385708,0.013356860759964964,0.846355250268228,0.01142461744442753,0.7654103497068934,0.021654237550423526,0.9273001508295627,0.016086017550959165,0.9700831805478491,0.006252779722715848
xgb_all_class_paper_weighted,xgboost,all,lopo,86,4501,86,0.7743481460124784,0.18136788552454872,0.8592008982075521,0.15612894912686484,0.12686519384584605,0.14722417628249568,0.13656680948522307,0.23278644168109303,0.8274548888314001,0.23242044190537584,0.7674213503224938,0.2413637991467044,0.8297051873428701,0.2539081256732067,0.5324415300036237,0.3927330055205,0.8933194822936619,0.17592798469204796,0.017158942210969863,0.10620686604535219,0.9034507756661095,0.12804929691704,0.7396425416755058,0.24423040818169947,0.990836713354734,0.041294043172655955,0.03438914027149321,0.13065185698642567,0.8541964392655927,0.19154949727540374,0.1267331205914473,0.2150208476247562,0.7788745469708391,0.26625109533024094,0.7578791585888994,0.2442950039491742,0.7502849272504664,0.3018187298646,0.6659097213905409,0.39339254912175037,0.9109283186189556,0.17225351415597984,0.1267331205914473,0.2150208476247562,0.7788745469708391,0.26625109533024094,0.7578791585888994,0.2442950039491742,0.7502849272504664,0.3018187298646,0.6659097213905409,0.39339254912175037,0.9109283186189556,0.17225351415597984
xgb_all_focal_class_paper_weighted,xgboost,all,extrapolation_grouped,15,13503,258,0.490376118106664,0.034279285486262946,0.7525574479278122,0.018378763823337647,0.7281386653582255,0.06265486383725354,-0.017319924237814345,0.05902153434610141,0.2769053709065018,0.3810208885167206,0.4929505868998184,0.03134090174708836,0.3004841546956628,0.44518629807633814,0.6854170191039741,0.4481927119426923,0.6275108740881732,0.2793667787263074,0.0,0.0,0.8603884309830193,0.013826620990752372,0.5,0.0,1.0,0.0,0.0,0.0,0.7552243660859378,0.021232508306625503,-0.02117293861033177,0.06551022947079647,0.28080509235496975,0.37827379295673813,0.4908035102939092,0.03228138304048192,0.30255516061282256,0.4437585677091644,0.6790518599749958,0.44421922858862917,0.6989394455167446,0.09578589190917992,-0.02117293861033177,0.06551022947079647,0.28080509235496975,0.37827379295673813,0.4908035102939092,0.03228138304048192,0.30255516061282256,0.4437585677091644,0.6790518599749958,0.44421922858862917,0.6989394455167446,0.09578589190917992
xgb_all_focal_class_paper_weighted,xgboost,all,interpolation_holdout,3,2703,247,0.4999811463046757,0.002234222558723752,0.75507769145394,0.00062476860428397,0.7536071141560873,0.0019223654709739013,0.010983553879676896,0.019024073367270643,0.576404960195637,0.4915735017603132,0.5007352941176471,0.0012735667702712288,0.6681372549019607,0.5748031356490834,0.3333333333333333,0.5773502691896258,0.8364779874213837,0.14161421697104026,0.0,0.0,0.8602150537634409,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.7547169811320756,1.3597399555105182e-16,0.010983553879676896,0.019024073367270643,0.576404960195637,0.4915735017603132,0.5007352941176471,0.0012735667702712288,0.6681372549019607,0.5748031356490834,0.3333333333333333,0.5773502691896258,0.8364779874213837,0.14161421697104026,0.010983553879676896,0.019024073367270643,0.576404960195637,0.4915735017603132,0.5007352941176471,0.0012735667702712288,0.6681372549019607,0.5748031356490834,0.3333333333333333,0.5773502691896258,0.8364779874213837,0.14161421697104026
xgb_all_focal_class_paper_weighted,xgboost,all,interpolation_stratified,15,13503,1215,0.4813812518056623,0.03831424265648037,0.7494641722484735,0.011716099019034325,0.7456514676411946,0.023828115179333257,0.0,0.0,0.7453780692375964,0.30262273288221986,0.5,0.0,0.8666666666666667,0.35186577527449836,0.13333333333333333,0.35186577527449836,0.7544654088050315,7.55880770537596e-05,0.0,0.0,0.8600734097393885,7.33077470138187e-05,0.5,0.0,1.0,0.0,0.0,0.0,0.7544989517819708,0.00011284090907486108,0.0,0.0,0.7453780692375964,0.30262273288221986,0.5,0.0,0.8666666666666667,0.35186577527449836,0.13333333333333333,0.35186577527449836,0.7544654088050315,7.55880770537596e-05,0.0,0.0,0.7453780692375964,0.30262273288221986,0.5,0.0,0.8666666666666667,0.35186577527449836,0.13333333333333333,0.35186577527449836,0.7544654088050315,7.55880770537596e-05
xgb_all_focal_class_paper_weighted,xgboost,all,lopo,86,4501,86,0.4847704379788648,0.04926284802323333,0.7140407040925711,0.18271357930804125,0.8409612192664035,0.19770153732468645,-0.012459214561249349,0.08164015372174965,0.7789751686190515,0.3386046564697713,0.6758236871774403,0.30026455029775523,0.8607487237663075,0.3478369370160391,0.13816186556927296,0.3331000370588425,0.8297180344742671,0.2360342989360387,0.0,0.0,0.9056703002006607,0.13072623842025038,0.7383720930232558,0.2511941384906071,1.0,0.0,0.0,0.0,0.8504329110833525,0.19435121919282886,-0.012459214561249349,0.08164015372174965,0.7906030755957957,0.3285607902091136,0.6874515941541844,0.2930613814993671,0.8723766307430517,0.3352096815159157,0.13816186556927296,0.3331000370588425,0.8319294885720038,0.2352779332820497,-0.012459214561249349,0.08164015372174965,0.7906030755957957,0.3285607902091136,0.6874515941541844,0.2930613814993671,0.8723766307430517,0.3352096815159157,0.13816186556927296,0.3331000370588425,0.8319294885720038,0.2352779332820497
xgb_all_unweighted,xgboost,all,extrapolation_grouped,15,13503,258,0.7201024603159237,0.045549337584410626,0.8830096617699217,0.027604350913516304,0.18342773318290712,0.018400348083106217,0.2609287650116691,0.07453123151524926,0.7492973879044199,0.09692693645408593,0.6364724788722419,0.03522406400957867,0.6945972665129744,0.1620227571056939,0.5783476912315092,0.18553776835051342,0.8453973647320077,0.03863604403983479,0.07933786634127302,0.07103965694639333,0.8583255136368656,0.016734052249387347,0.5134902949640138,0.02020127530817324,0.985963845208771,0.02376225116781782,0.04101674471925639,0.05994465785596732,0.7604718434945388,0.023425433327238353,0.27294447046130366,0.05531387396719408,0.7019471617226652,0.08828698792114083,0.6516641700032034,0.03557775087169672,0.6039353764387511,0.14481300355220986,0.6993929635676556,0.18246815621118304,0.872341615191648,0.03732211835359246,0.27294447046130366,0.05531387396719408,0.7019471617226652,0.08828698792114083,0.6516641700032034,0.03557775087169672,0.6039353764387511,0.14481300355220986,0.6993929635676556,0.18246815621118304,0.872341615191648,0.03732211835359246
xgb_all_unweighted,xgboost,all,interpolation_holdout,3,2703,247,0.9132430574039571,0.006249160487917964,0.9720352793622572,0.0021375100720670186,0.10302900274594624,0.0048769017907522505,0.6066217330361127,0.012892853716000328,0.8604251632918022,0.007692863232310069,0.8439856711915535,0.007714387506597083,0.7769607843137254,0.015724524443475916,0.9110105580693816,0.02277476451062069,0.9642365982423072,0.00826975995023812,0.48862672813997726,0.06098192318462564,0.8950972378995138,0.009182471189454245,0.6933069381598793,0.04044277175180505,0.9612745098039216,0.013262499273008519,0.4253393665158371,0.08901500259233484,0.8377387513024148,0.019742562714303902,0.5963566462565324,0.015025389628484443,0.8470559711975261,0.009101935386876887,0.841553544494721,0.008178571352467596,0.7509803921568627,0.015306367643133336,0.9321266968325791,0.016314711653683214,0.971526626104627,0.006334535633971641,0.5963566462565324,0.015025389628484443,0.8470559711975261,0.009101935386876887,0.841553544494721,0.008178571352467596,0.7509803921568627,0.015306367643133336,0.9321266968325791,0.016314711653683214,0.971526626104627,0.006334535633971641
