model_id,model_family,feature_set,protocol,rd_mean,rd_std,rd_bt_mean,rd_bt_std,delta_RMSE_bt_minus_rd_mean,delta_RMSE_bt_minus_rd_std
rf_baseline,random_forest,all,extrapolation_grouped,0.0122051249092407,0.0041154125215593,0.0122182300161163,0.0040601557739882,1.310510687553999e-05,0.0004497801034871
xgb_absoluteerror_sqrt,xgboost,all,extrapolation_grouped,0.0126998002584119,0.0044545000537897,0.0129873094884274,0.0044297745769742,0.0002875092300154,0.0009899074193407
xgb_absoluteerror_inverse,xgboost,all,extrapolation_grouped,0.0127395333247672,0.0039429583914793,0.0126317695648815,0.0038718016115101,-0.0001077637598857,0.0009207948320808
xgb_log_target_sqrt,xgboost,all,extrapolation_grouped,0.0127733156544035,0.0044983542693985,0.0134498704789013,0.0042294969180147,0.0006765548244978,0.0012902359201992
rf_paper_sqrt,random_forest,all,extrapolation_grouped,0.0128348004859859,0.0038448427256185,0.0129248827191651,0.0037945115340774,9.008223317916992e-05,0.0008131917412379
xgb_baseline,xgboost,all,extrapolation_grouped,0.0129459301035685,0.003901161335506,0.0135002901060075,0.0034374257343677,0.000554360002439,0.0006152128480141
xgb_paper_sqrt,xgboost,all,extrapolation_grouped,0.0129645631210865,0.0035852923223034,0.0125722435162525,0.0038315908780658,-0.0003923196048339,0.0006901865343638
xgb_pseudohuber_inverse,xgboost,all,extrapolation_grouped,0.013166913537957,0.004236728071173,0.0132042724070845,0.0042998503897841,3.73588691274903e-05,0.0007344394838401
rf_paper_inverse,random_forest,all,extrapolation_grouped,0.0133604892839676,0.0039468478043505,0.0131302754132906,0.0042744166841027,-0.000230213870677,0.001189267407322
xgb_paper_inverse,xgboost,all,extrapolation_grouped,0.0134494843101026,0.0033842926137652,0.0139749843350462,0.0035693436402742,0.0005255000249436,0.0014927045785507
xgb_pseudohuber_sqrt,xgboost,all,extrapolation_grouped,0.0134605095595455,0.0035425102435118,0.0132620167901768,0.0036721783231552,-0.0001984927693686,0.0007401609416443
xgb_paper_bagging_sqrt,xgboost,all,extrapolation_grouped,0.0134968767091126,0.0039049857698654,0.013519454558658,0.0041516160952992,2.257784954536012e-05,0.0006550796667183
xgb_log_target_inverse,xgboost,all,extrapolation_grouped,0.0141176576793344,0.0037438662261506,0.0134526259617212,0.0039439055750185,-0.0006650317176132,0.0015068170435195
knn_distance_inverse,knn,all,extrapolation_grouped,0.0142915931604843,0.0045658566076599,0.0136231587812929,0.0039542749436373,-0.0006684343791914,0.0027019879816339
knn_uniform_inverse,knn,all,extrapolation_grouped,0.0142915931604843,0.0045658566076599,0.0139513826089441,0.0041420229403436,-0.0003402105515401,0.0013406116583188
knn_distance,knn,all,extrapolation_grouped,0.0145694967536232,0.0041050910046422,0.0149436595253192,0.0037178390625108,0.0003741627716959,0.0016146350086759
knn_uniform,knn,all,extrapolation_grouped,0.0145694967536232,0.0041050910046422,0.0152681206396164,0.0038130607701703,0.0006986238859931,0.001682716528798
knn_distance_sqrt,knn,all,extrapolation_grouped,0.0152169992138083,0.005298897814316,0.0140682580468681,0.0044640111831721,-0.0011487411669401,0.0020344762900806
knn_uniform_sqrt,knn,all,extrapolation_grouped,0.0152169992138083,0.005298897814316,0.0148569569483358,0.0059548802646513,-0.0003600422654725,0.0021084269349311
svr_rbf_sqrt,svr,all,extrapolation_grouped,0.015331109708643,0.0037300109218437,0.0154912282410089,0.0038117023335259,0.0001601185323658,0.0008817051795159
svr_rbf_inverse,svr,all,extrapolation_grouped,0.0156042064280282,0.0034555410724063,0.0157907642062697,0.0038141771266793,0.0001865577782415,0.001193813722763
svr_rbf,svr,all,extrapolation_grouped,0.0161364132585677,0.0034090978527253,0.0159612460510221,0.0033025314846692,-0.0001751672075455,0.0009160335917158
mlp_log_target_sqrt,mlp,all,extrapolation_grouped,0.0204605662405261,0.0084959706348221,0.0194673434413255,0.0090082061995652,-0.0009932227992005,0.0030826296636773
svr_linear,svr,all,extrapolation_grouped,0.0209452356056846,0.009595121785364,0.0290166378651322,0.0137816868479818,0.0080714022594475,0.0104671766940959
mlp_log_target_inverse,mlp,all,extrapolation_grouped,0.021451265653503,0.0121615752113176,0.0210398425062999,0.0098087379166102,-0.000411423147203,0.0030759653538654
rf_baseline,random_forest,all,interpolation_random,0.0062627653771392,0.0004717928375938,0.0062892863396393,0.0005286199462245,2.652096250009995e-05,0.0001984664688595
xgb_absoluteerror_sqrt,xgboost,all,interpolation_random,0.0063375283866942,0.0006797672308537,0.0065221199238567,0.0008824927189427,0.0001845915371624,0.0003821519088445
xgb_baseline,xgboost,all,interpolation_random,0.0063604932183653,0.0008506908793818,0.0062355996208577,0.0006983651002771,-0.0001248935975075,0.0003010090473234
rf_paper_sqrt,random_forest,all,interpolation_random,0.0064999948571456,0.0007328078707268,0.0064044658644951,0.0008869110684141,-9.552899265051015e-05,0.0003069938824813
xgb_log_target_inverse,xgboost,all,interpolation_random,0.0065613329965122,0.0008266682510226,0.0065052335684041,0.0007782987866331,-5.609942810809003e-05,0.00029896349937
xgb_log_target_sqrt,xgboost,all,interpolation_random,0.0065766300401574,0.0009168005795494,0.0065560853169887,0.0011282882278498,-2.054472316867992e-05,0.0002788578809885
xgb_absoluteerror_inverse,xgboost,all,interpolation_random,0.0066148940562032,0.0006550780167338,0.0066259181630056,0.0006839668720023,1.1024106802409988e-05,0.000541798160787
xgb_paper_sqrt,xgboost,all,interpolation_random,0.0066545012040002,0.0005436754670234,0.0066443542439715,0.0004585717136055,-1.014696002864012e-05,0.0003340231903915
xgb_paper_inverse,xgboost,all,interpolation_random,0.0067024928883106,0.0005927629383147,0.0065493251694677,0.0004761032154874,-0.0001531677188428,0.0003244683138334
xgb_pseudohuber_sqrt,xgboost,all,interpolation_random,0.0068032276132191,0.0005996459707505,0.006830382867882,0.0006927064867168,2.7155254662969935e-05,0.0004677028458687
xgb_pseudohuber_inverse,xgboost,all,interpolation_random,0.0068344675368634,0.0010771358713116,0.0067678748841054,0.0009682544796312,-6.659265275794019e-05,0.0002716119970874
rf_paper_inverse,random_forest,all,interpolation_random,0.0069764400593529,0.0009457621555259,0.0070258803316274,0.000858318168478,4.944027227448992e-05,0.0002570808440548
xgb_paper_bagging_sqrt,xgboost,all,interpolation_random,0.0080224456226151,0.00082097365926,0.0079356677834057,0.0009426552732906,-8.677783920936011e-05,0.000253986375003
knn_uniform,knn,all,interpolation_random,0.0093127778183018,0.0007526873529318,0.0093135227022726,0.0007653712473231,7.448839707696782e-07,0.0005746513119165
knn_uniform_sqrt,knn,all,interpolation_random,0.0094029538034216,0.0006774735772113,0.0090251079671309,0.0007164738558807,-0.0003778458362907,0.000716168760281
