model_id,model_family,feature_set,augmentation,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,NRMSE_mean,MBE_mean,fold_count
rf_baseline,random_forest,all,rd,0.8790041743909113,0.0177987064667322,0.0062627653771392,0.0004717928375938,0.002102863564216,0.0001731963140187,73.76729630316844,0.6972885679001785,-3.8846838897512336e-05,10
xgb_baseline,xgboost,all,rd_bt,0.8782674302783882,0.0310433004280065,0.0062355996208577,0.0006983651002771,0.0022261108685414,0.0003668509645794,138.55806264953245,0.6951042799654006,9.845903481219534e-05,10
rf_baseline,random_forest,all,rd_bt,0.8779759700129175,0.0191343094574295,0.0062892863396393,0.0005286199462245,0.0020916098301494,0.0001831004607274,70.3815361415099,0.6999687017975078,-1.5878258906181816e-05,10
xgb_absoluteerror_sqrt,xgboost,all,rd,0.8752335607653077,0.0294438136144741,0.0063375283866942,0.0006797672308537,0.0020276488880091,0.0001657280261572,82.33169097083447,0.7055690082179842,-0.0001638928331903,10
xgb_baseline,xgboost,all,rd,0.8727218922025444,0.0367240962583227,0.0063604932183653,0.0008506908793818,0.002273584032896,0.0003838918193811,141.2548864499636,0.709006269427625,5.847344987744438e-05,10
rf_paper_sqrt,random_forest,all,rd_bt,0.8711764884873828,0.0415656589544,0.0064044658644951,0.0008869110684141,0.0019850992118675,0.0001238713476961,72.52489987350539,0.7136137418139582,-1.2953824297012623e-05,10
rf_paper_sqrt,random_forest,all,rd,0.8685087513108481,0.0324412262794943,0.0064999948571456,0.0007328078707268,0.0020421887184849,0.0001176540801102,79.21930158887132,0.7240305597880431,2.586983429656209e-05,10
xgb_absoluteerror_sqrt,xgboost,all,rd_bt,0.8677917122006577,0.0350035640215212,0.0065221199238567,0.0008824927189427,0.0021439049570193,0.0001837927113964,83.96867049958112,0.7254587893134956,-0.0001100468180721,10
xgb_log_target_inverse,xgboost,all,rd_bt,0.8672944276967482,0.0356577506721987,0.0065052335684041,0.0007782987866331,0.0022931361093863,0.0003921708891754,162.6189435747677,0.7254482500334652,1.211601078557052e-06,10
xgb_paper_inverse,xgboost,all,rd_bt,0.8670339699108685,0.0231657228239446,0.0065493251694677,0.0004761032154874,0.002348536754323,0.0003142689698148,196.13732978182705,0.729809628233916,7.309667599691974e-05,10
xgb_absoluteerror_inverse,xgboost,all,rd,0.8655067876779435,0.0200962692698047,0.0066148940562032,0.0006550780167338,0.0022671576597242,0.0001785269667802,97.4078758576032,0.7352419892564727,-0.0002908267446623,10
xgb_absoluteerror_inverse,xgboost,all,rd_bt,0.8647768586671672,0.0228884356767663,0.0066259181630056,0.0006839668720023,0.0023089558102735,0.0001551336017939,89.75692451153101,0.7366746793028749,-0.0002321845876874,10
xgb_log_target_inverse,xgboost,all,rd,0.8645115454528384,0.0376355808277552,0.0065613329965122,0.0008266682510226,0.0023542742823473,0.0003921353668253,171.81292194706688,0.7318766655047139,8.576241850634837e-07,10
xgb_paper_sqrt,xgboost,all,rd_bt,0.8643171912262654,0.0151254913521378,0.0066443542439715,0.0004585717136055,0.0023075952428439,0.0003372265844083,158.52181749669995,0.7392956684075219,1.224236933168753e-05,10
