model_id,model_family,feature_set,protocol,augmentation,R2_mean,R2_std,R2_median,R2_min,R2_max,RMSE_mean,RMSE_std,RMSE_median,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_median,MAE_min,MAE_max,MAPE_mean,MAPE_std,MAPE_median,MAPE_min,MAPE_max,MBE_mean,MBE_std,MBE_median,MBE_min,MBE_max,NRMSE_mean,NRMSE_std,NRMSE_median,NRMSE_min,NRMSE_max
rf_baseline,random_forest,all,extrapolation_grouped,rd,0.4576134719032061,0.2215156291209969,0.5285817182047127,0.0176157442961719,0.7464878516422144,0.0122051249092407,0.0041154125215593,0.0108670982831347,0.0077747670705229,0.022120686461008,0.0048193915540913,0.0011435946560373,0.0048538134629056,0.0033715421317224,0.006357988113361,356.99210790225413,239.44608705197976,275.2997120016085,121.1968286300121,756.2690788870702,-0.0006581910470208,0.0012806331040928,-0.0004690784447119,-0.0029230114044075,0.0013057024416484,1.432580401706118,0.5260817740024364,1.318979275886509,0.8802418983403182,2.656016962899532
xgb_absoluteerror_sqrt,xgboost,all,extrapolation_grouped,rd,0.4128449998437368,0.2408040358737969,0.369466313941346,0.0624739402630464,0.8169222700897119,0.0126998002584119,0.0044545000537897,0.0125283196748625,0.0066070220788323,0.0216097417827146,0.0050820094837619,0.0014567520493986,0.0047317558768398,0.0031819166016103,0.0076334427066548,325.4106965657465,252.3176379535668,256.7365326971211,110.62513612091452,895.5593211982565,-0.0005257431820879,0.00139888641214,-0.0002231394844838,-0.00358372050141,0.0010862404404933,1.4852189037592487,0.5495816620321535,1.4252271300120252,0.7480323981791723,2.59466815552673
xgb_absoluteerror_inverse,xgboost,all,extrapolation_grouped,rd,0.4038622853316403,0.2353322306276747,0.4504011319676062,0.0382932826269485,0.7489166897233351,0.0127395333247672,0.0039429583914793,0.0122019590903375,0.0077374333602012,0.0216996210979228,0.0051343668233726,0.0013335753848689,0.0050810052293203,0.0034582429831236,0.0074878825136188,259.7126067801073,191.0700799559981,166.09839311375583,92.8994843229589,634.5266467177318,-0.000765740301906,0.0012854555036691,-0.0005535535297944,-0.0031272483114301,0.0008471171718792,1.4853449795280491,0.4816302066901364,1.396730689593812,0.876015058391595,2.6054599085868126
xgb_log_target_sqrt,xgboost,all,extrapolation_grouped,rd,0.4142446928605767,0.2224029167878946,0.37805171665024,0.0555933766505083,0.7792750374626276,0.0127733156544035,0.0044983542693985,0.0124322768145972,0.0071779830588769,0.0216888944589143,0.0052118489119693,0.0015189782539085,0.0051616406686317,0.0034083529082804,0.0073715592145467,421.5755212765524,244.79824215034495,368.3081729531469,93.06597870217809,918.0492042905512,-0.0005898009614297,0.0013854415309506,-0.0003611479165014,-0.0030131027754333,0.0018991686772291,1.4980481991042145,0.5667638732966103,1.4878173204816385,0.8058657475861675,2.6041719677622024
rf_paper_sqrt,random_forest,all,extrapolation_grouped,rd,0.4028157079928783,0.1958299522821644,0.4217491505136829,0.0454250121974704,0.7350585216024436,0.0128348004859859,0.0038448427256185,0.0122563332536444,0.0079480936648202,0.0218053433041287,0.0049742070166877,0.0009736983334878,0.0054729530187922,0.0035553980896152,0.0060113084778977,367.2705590179896,249.63965081064933,305.32450192128647,150.385568050043,943.8091053486628,-0.0004081657660855,0.0015330894217303,-0.0004129540765717,-0.0031703092631404,0.0024028269180067,1.5070232851160297,0.5000572943648072,1.4356776060037064,0.8998655512437602,2.618153907642089
xgb_baseline,xgboost,all,extrapolation_grouped,rd,0.3963813385157269,0.2043360592950771,0.4317134848903982,0.0479126896248983,0.6760650390763354,0.0129459301035685,0.003901161335506,0.0119740507888301,0.0087885435633578,0.0215491284950828,0.0054599901256287,0.0009732116609874,0.0054978889096884,0.003176468814803,0.0066436036664312,432.5497904433482,173.53823300065193,429.6164884295349,211.81585928708373,737.0665532459943,-0.0001638049869047,0.0017326941154871,-0.0006921513533824,-0.0027017487589083,0.0022896583082102,1.5198736202652463,0.505283288846192,1.5262128084561106,0.9950194262651176,2.587390356060109
xgb_paper_sqrt,xgboost,all,extrapolation_grouped,rd,0.4020799031969638,0.1420067417466167,0.4174782183733656,0.0672049135986151,0.5668177846445751,0.0129645631210865,0.0035852923223034,0.0117434252133687,0.0101293737553517,0.0215551489460383,0.00530910776435,0.0010308840658702,0.0057065979364148,0.0035284199337657,0.0063462011270148,458.1941187002154,272.2042995852975,427.1043011254476,127.36695040778832,1152.50459012369,-0.000328347238642,0.001773272049557,-0.000809265696997,-0.0029337149841374,0.0031676218876487,1.52099699217404,0.4707397600681478,1.3793185521181348,1.001150430755304,2.5881132278340138
xgb_pseudohuber_inverse,xgboost,all,extrapolation_grouped,rd,0.3612363044827688,0.2717904504843821,0.3990656448100433,-0.1197137832110699,0.7321833650873412,0.013166913537957,0.004236728071173,0.0127714655955704,0.0072759782458818,0.0218549116466102,0.0053053850058697,0.0015384365579546,0.0054056612909654,0.0036429051682979,0.0074986588200762,421.8800528361151,195.03852033013465,467.48793918146754,107.0757802407319,640.524306398804,-0.000768543285613,0.0015226873939381,-0.0009064731554559,-0.0034819403696349,0.002230620046944,1.549202711766689,0.5502405837016505,1.559410336148784,0.8168675797147529,2.6241055474651005
rf_paper_inverse,random_forest,all,extrapolation_grouped,rd,0.3318500333098716,0.288224522097432,0.4030005261932613,-0.1477631390782594,0.7519886163608083,0.0133604892839676,0.0039468478043505,0.0128803193421367,0.00768995514102,0.021826988832848,0.005029844054887,0.0011838726464838,0.0051902500172321,0.0036145498025328,0.0065861390658675,347.8698563923946,176.99580429727942,278.20516873196243,186.954515973796,638.3813620755756,-0.0001943024824983,0.001406919971289,-4.380680489595698e-05,-0.003143286361179,0.001551564692295,1.5708645816167113,0.5193633661554955,1.554832098491285,0.8706396796306936,2.620752872712672
xgb_paper_inverse,xgboost,all,extrapolation_grouped,rd,0.3404412595624698,0.1876085605320263,0.371782533663662,0.0770220104166775,0.6760236328327092,0.0134494843101026,0.0033842926137652,0.0130905752794974,0.0087891052331247,0.02144142155823,0.0053997072137028,0.0014843001403658,0.0052268404002148,0.0034872730368193,0.007766709842423,486.7365705898486,314.24203724025057,430.3516830973092,130.0366372851984,1028.9119536623812,-0.0004219612714967,0.0015617634672023,-0.000313473296206,-0.0033852465364724,0.0015723412688741,1.574031038455317,0.4397428684779953,1.586190451405295,0.995083017271425,2.574458051639661
