model_id,model_family,feature_set,augmentation,random_RMSE_mean,random_RMSE_std,grouped_RMSE_mean,grouped_RMSE_std,generalization_gap_mean,generalization_gap_std
rf_baseline,random_forest,all,rd,0.0062627653771392,0.0004717928375938,0.0122051249092407,0.0041154125215593,0.0059423595321015,0.0041377542597166
rf_baseline,random_forest,all,rd_bt,0.0062892863396393,0.0005286199462245,0.0122182300161163,0.0040601557739882,0.0059289436764769,0.0040932201946898
xgb_paper_sqrt,xgboost,all,rd_bt,0.0066443542439715,0.0004585717136055,0.0125722435162525,0.0038315908780658,0.0059278892722809,0.0038667873167131
xgb_absoluteerror_inverse,xgboost,all,rd_bt,0.0066259181630056,0.0006839668720023,0.0126317695648815,0.0038718016115101,0.0060058514018759,0.0038204781927321
xgb_absoluteerror_sqrt,xgboost,all,rd,0.0063375283866942,0.0006797672308537,0.0126998002584119,0.0044545000537897,0.0063622718717176,0.0046861746170379
xgb_absoluteerror_inverse,xgboost,all,rd,0.0066148940562032,0.0006550780167338,0.0127395333247672,0.0039429583914793,0.006124639268564,0.0037275850395634
xgb_log_target_sqrt,xgboost,all,rd,0.0065766300401574,0.0009168005795494,0.0127733156544035,0.0044983542693985,0.006196685614246,0.0049015431800307
rf_paper_sqrt,random_forest,all,rd,0.0064999948571456,0.0007328078707268,0.0128348004859859,0.0038448427256185,0.0063348056288403,0.0040137084051412
rf_paper_sqrt,random_forest,all,rd_bt,0.0064044658644951,0.0008869110684141,0.0129248827191651,0.0037945115340774,0.0065204168546699,0.0038825780850843
xgb_baseline,xgboost,all,rd,0.0063604932183653,0.0008506908793818,0.0129459301035685,0.003901161335506,0.0065854368852031,0.0043475707788575
xgb_paper_sqrt,xgboost,all,rd,0.0066545012040002,0.0005436754670234,0.0129645631210865,0.0035852923223034,0.0063100619170862,0.0036555902284989
xgb_absoluteerror_sqrt,xgboost,all,rd_bt,0.0065221199238567,0.0008824927189427,0.0129873094884274,0.0044297745769742,0.0064651895645706,0.0047123575523761
rf_paper_inverse,random_forest,all,rd_bt,0.0070258803316274,0.000858318168478,0.0131302754132906,0.0042744166841027,0.0061043950816631,0.0046463543816044
xgb_pseudohuber_inverse,xgboost,all,rd,0.0068344675368634,0.0010771358713116,0.013166913537957,0.004236728071173,0.0063324460010936,0.0047612499567981
xgb_pseudohuber_inverse,xgboost,all,rd_bt,0.0067678748841054,0.0009682544796312,0.0132042724070845,0.0042998503897841,0.006436397522979,0.0048082801069749
xgb_pseudohuber_sqrt,xgboost,all,rd_bt,0.006830382867882,0.0006927064867168,0.0132620167901768,0.0036721783231552,0.0064316339222947,0.0038589856120467
rf_paper_inverse,random_forest,all,rd,0.0069764400593529,0.0009457621555259,0.0133604892839676,0.0039468478043505,0.0063840492246146,0.0043018531950576
xgb_paper_inverse,xgboost,all,rd,0.0067024928883106,0.0005927629383147,0.0134494843101026,0.0033842926137652,0.006746991421792,0.0035029045585561
xgb_log_target_sqrt,xgboost,all,rd_bt,0.0065560853169887,0.0011282882278498,0.0134498704789013,0.0042294969180147,0.0068937851619126,0.0047359450550659
xgb_log_target_inverse,xgboost,all,rd_bt,0.0065052335684041,0.0007782987866331,0.0134526259617212,0.0039439055750185,0.0069473923933171,0.0043194151090098
xgb_pseudohuber_sqrt,xgboost,all,rd,0.0068032276132191,0.0005996459707505,0.0134605095595455,0.0035425102435118,0.0066572819463263,0.0037445258055003
xgb_paper_bagging_sqrt,xgboost,all,rd,0.0080224456226151,0.00082097365926,0.0134968767091126,0.0039049857698654,0.0054744310864975,0.0039444655502773
xgb_baseline,xgboost,all,rd_bt,0.0062355996208577,0.0006983651002771,0.0135002901060075,0.0034374257343677,0.0072646904851497,0.0037771935439239
xgb_paper_bagging_sqrt,xgboost,all,rd_bt,0.0079356677834057,0.0009426552732906,0.013519454558658,0.0041516160952992,0.0055837867752522,0.0042427467854491
knn_distance_inverse,knn,all,rd_bt,0.009174941899776,0.0006905082048188,0.0136231587812929,0.0039542749436373,0.0044482168815168,0.0037724763361469
knn_uniform_inverse,knn,all,rd_bt,0.0095581234131813,0.0005541433337861,0.0139513826089441,0.0041420229403436,0.0043932591957628,0.0039814028954885
xgb_paper_inverse,xgboost,all,rd_bt,0.0065493251694677,0.0004761032154874,0.0139749843350462,0.0035693436402742,0.0074256591655785,0.0036817661806656
knn_distance_sqrt,knn,all,rd_bt,0.0092714542625738,0.0004043717939056,0.0140682580468681,0.0044640111831721,0.0047968037842943,0.0044666223500933
xgb_log_target_inverse,xgboost,all,rd,0.0065613329965122,0.0008266682510226,0.0141176576793344,0.0037438662261506,0.0075563246828222,0.0040237299714124
knn_distance_inverse,knn,all,rd,0.0094934301301121,0.0008670316881641,0.0142915931604843,0.0045658566076599,0.0047981630303722,0.0047057747576423
knn_uniform_inverse,knn,all,rd,0.0095571432045601,0.0008267031885584,0.0142915931604843,0.0045658566076599,0.0047344499559242,0.0045319217205867
knn_distance,knn,all,rd,0.0096311096902167,0.0009762077019379,0.0145694967536232,0.0041050910046422,0.0049383870634065,0.0047343501445365
knn_uniform,knn,all,rd,0.0093127778183018,0.0007526873529318,0.0145694967536232,0.0041050910046422,0.0052567189353214,0.0045989779537317
knn_uniform_sqrt,knn,all,rd_bt,0.0090251079671309,0.0007164738558807,0.0148569569483358,0.0059548802646513,0.0058318489812049,0.0058856409839809
knn_distance,knn,all,rd_bt,0.0091833655239309,0.0006637751791527,0.0149436595253192,0.0037178390625108,0.0057602940013883,0.0038845539335925
knn_distance_sqrt,knn,all,rd,0.0094285048393549,0.0006876562691149,0.0152169992138083,0.005298897814316,0.0057884943744534,0.0054475602936036
knn_uniform_sqrt,knn,all,rd,0.0094029538034216,0.0006774735772113,0.0152169992138083,0.005298897814316,0.0058140454103867,0.0055887251345398
knn_uniform,knn,all,rd_bt,0.0093135227022726,0.0007653712473231,0.0152681206396164,0.0038130607701703,0.0059545979373438,0.0040701896340244
