configuration_id,inner_fold,parameters,roc_auc,pr_auc,brier,mcc,f1,balanced_accuracy,sensitivity,specificity,precision,split_id,protocol,seed,fold,model_id
0,0,"{""leaf_size"": 60, ""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",0.7898777612590289,0.9203986922795109,0.19959248280700537,0.39807732991272804,0.795593635250918,0.7260665855746272,0.717439293598234,0.7346938775510204,0.8928571428571429,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
0,1,"{""leaf_size"": 60, ""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",0.800704185785186,0.9248874972768624,0.19381855170764523,0.4102051110569894,0.8,0.7325124075287948,0.7226519337016575,0.7423728813559322,0.8958904109589041,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
0,2,"{""leaf_size"": 60, ""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",0.7990879295814215,0.9229002686461978,0.20331197982543261,0.39003596007513297,0.7774294670846394,0.7238973686674782,0.6850828729281768,0.7627118644067796,0.8985507246376812,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
0,mean,"{""leaf_size"": 60, ""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",0.7965566255418789,0.922728819400857,0.1989076714466944,0.39943946701495014,0.7910077007785192,0.7274921205903001,0.7083913667426894,0.7465928744379108,0.8957660928179094,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
1,0,"{""leaf_size"": 60, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",0.7731055998558364,0.9088911936075381,0.2206101866137524,0.3506112349712311,0.7908378541289933,0.6970649186827049,0.7240618101545254,0.6700680272108843,0.8711819389110226,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
1,1,"{""leaf_size"": 60, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",0.796735649405375,0.9184131454642832,0.20383496484173702,0.41346357841604725,0.8110709987966306,0.7316977245060399,0.7447513812154696,0.7186440677966102,0.8903566710700133,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
1,2,"{""leaf_size"": 60, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",0.7904541623747543,0.9145672273885936,0.21642003337268265,0.4109928388894601,0.7935723114956736,0.7343571495458376,0.7093922651933702,0.7593220338983051,0.9004207573632539,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
1,mean,"{""leaf_size"": 60, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",0.7867651372119887,0.9139571888201384,0.21362172827605738,0.3916892174255795,0.7984937214737657,0.7210399309115275,0.7260684855211217,0.7160113763019332,0.8873197891147632,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
2,0,"{""leaf_size"": 30, ""n_neighbors"": 25, ""p"": 1, ""weights"": ""distance""}",0.7851736721178538,0.9157620297380793,0.20006245477038734,0.40176359756865254,0.7850467289719626,0.7303351804297877,0.695364238410596,0.7653061224489796,0.9012875536480687,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
2,1,"{""leaf_size"": 30, ""n_neighbors"": 25, ""p"": 1, ""weights"": ""distance""}",0.796980990729469,0.9198886923194939,0.19347834449915022,0.4175783763634193,0.8007357449417535,0.7370446671036615,0.7215469613259669,0.752542372881356,0.8994490358126722,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
2,2,"{""leaf_size"": 30, ""n_neighbors"": 25, ""p"": 1, ""weights"": ""distance""}",0.7978218934357149,0.9216725012229797,0.20019740356500643,0.3836925358244563,0.7728130899937067,0.7205824515404065,0.6784530386740332,0.7627118644067796,0.8976608187134503,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
2,mean,"{""leaf_size"": 30, ""n_neighbors"": 25, ""p"": 1, ""weights"": ""distance""}",0.7933255187610125,0.9191077410935176,0.19791273427818132,0.4010115032521761,0.7861985213024743,0.7293207663579518,0.6984547461368654,0.7601867865790384,0.8994658027247304,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
3,0,"{""leaf_size"": 30, ""n_neighbors"": 40, ""p"": 2, ""weights"": ""uniform""}",0.7618897448604166,0.9024739854013959,0.20853697916666666,0.3748841787509283,0.7475665152498377,0.717540658647565,0.6357615894039735,0.7993197278911565,0.9070866141732283,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
3,1,"{""leaf_size"": 30, ""n_neighbors"": 40, ""p"": 2, ""weights"": ""uniform""}",0.7872253956362955,0.9167083345654884,0.2038453125,0.3860389813209031,0.74640522875817,0.7239441895308549,0.630939226519337,0.8169491525423729,0.9136,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
3,2,"{""leaf_size"": 30, ""n_neighbors"": 40, ""p"": 2, ""weights"": ""uniform""}",0.760516902331679,0.9061424850948343,0.21391041666666666,0.3627943175909386,0.738562091503268,0.7104597808783594,0.6243093922651933,0.7966101694915254,0.904,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
3,mean,"{""leaf_size"": 30, ""n_neighbors"": 40, ""p"": 2, ""weights"": ""uniform""}",0.7698773476094637,0.9084416016872394,0.20876423611111108,0.3745724925542566,0.7441779451704252,0.7173148763522598,0.6303367360628346,0.804293016641685,0.9082288713910761,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
4,0,"{""leaf_size"": 15, ""n_neighbors"": 60, ""p"": 2, ""weights"": ""distance""}",0.7654093646288539,0.8964236906550445,0.20425057047729184,0.3617436142715915,0.7736318407960199,0.7072126863990629,0.6865342163355408,0.7278911564625851,0.886039886039886,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
4,1,"{""leaf_size"": 15, ""n_neighbors"": 60, ""p"": 2, ""weights"": ""distance""}",0.7796160689203109,0.9006593467758788,0.1987263607329549,0.3893555153567759,0.7830950901180858,0.7226425695289821,0.6961325966850829,0.7491525423728813,0.8948863636363636,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
4,2,"{""leaf_size"": 15, ""n_neighbors"": 60, ""p"": 2, ""weights"": ""distance""}",0.7745837625245808,0.9011909450543774,0.2059206454494712,0.3650006639456589,0.7587523870146403,0.7106377001591909,0.6585635359116022,0.7627118644067796,0.8948948948948949,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all
