protocol,model_a,model_b,paired_fold_count,delta_roc_auc,wilcoxon_p_roc_auc,delta_pr_auc,wilcoxon_p_pr_auc,delta_brier,wilcoxon_p_brier,delta_mcc_at_mcc,wilcoxon_p_mcc_at_mcc,delta_f1_at_f1,wilcoxon_p_f1_at_f1,delta_balanced_accuracy_at_balanced_accuracy,wilcoxon_p_balanced_accuracy_at_balanced_accuracy,caveat
extrapolation_grouped,knn_all,knn_physics,15,-0.0879561021874588,0.0006103515625,-0.0417760976108845,0.00836181640625,0.03811258540553272,0.0067138671875,-0.13395372813568807,0.00018310546875,0.0014184026806622451,0.020879263166351643,-0.07524192210631195,0.00042724609375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,knn_all,knn_physics,3,0.0028846153846154112,0.75,0.0020465729480820074,0.25,-0.0018945390411041763,0.75,-0.0008324648741746173,0.75,0.0026317121844168234,0.5,0.0076357466063348145,1.0,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,knn_all,knn_physics,15,-0.004547412984879507,0.0946044921875,0.00266254786547655,0.33026123046875,0.002224145775767883,0.27685546875,-0.014480609108346917,0.0946044921875,-0.0032882433999123903,0.22089889066779878,-0.009064251394451543,0.072998046875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,knn_all,knn_physics,86,0.001700547904456995,0.9807330365911837,0.010851020617803964,0.4481143020845735,-0.012510799531165429,0.5963326915784605,-0.06969103147079238,0.00023666483210411758,0.0024616379121778125,0.7150006546880893,-0.010217212050895765,0.20932735701258665,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
