split_id,protocol,seed,fold,model_id,model_family,feature_set,n_test_rows,n_test_papers,roc_auc,pr_auc,brier,mcc_at_mcc,f1_at_mcc,balanced_accuracy_at_mcc,sensitivity_at_mcc,specificity_at_mcc,precision_at_mcc,mcc_at_f1,f1_at_f1,balanced_accuracy_at_f1,sensitivity_at_f1,specificity_at_f1,precision_at_f1,mcc_at_balanced_accuracy,f1_at_balanced_accuracy,balanced_accuracy_at_balanced_accuracy,sensitivity_at_balanced_accuracy,specificity_at_balanced_accuracy,precision_at_balanced_accuracy,mcc_at_youden_j,f1_at_youden_j,balanced_accuracy_at_youden_j,sensitivity_at_youden_j,specificity_at_youden_j,precision_at_youden_j
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_all,knn,all,901,82,0.8270062549906841,0.9292216682098158,0.1813074635864129,0.4738997405341165,0.7676056338028169,0.7753393665158371,0.6411764705882353,0.9095022624434389,0.956140350877193,0.25707786856323145,0.8671052631578947,0.5750565610859728,0.9691176470588235,0.18099547511312217,0.7845238095238095,0.4738997405341165,0.7676056338028169,0.7753393665158371,0.6411764705882353,0.9095022624434389,0.956140350877193,0.4738997405341165,0.7676056338028169,0.7753393665158371,0.6411764705882353,0.9095022624434389,0.956140350877193
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,knn_all,knn,all,901,81,0.8314080383284537,0.9360190277087046,0.17604582014496925,0.47824148327095567,0.7296296296296296,0.776131221719457,0.5794117647058824,0.9728506787330317,0.985,0.21288398096919872,0.8633093525179856,0.5576923076923077,0.9705882352941176,0.14479638009049775,0.7773851590106007,0.46874019118154703,0.7658450704225352,0.7723416289592759,0.6397058823529411,0.9049773755656109,0.9539473684210527,0.46874019118154703,0.7658450704225352,0.7723416289592759,0.6397058823529411,0.9049773755656109,0.9539473684210527
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,knn_all,knn,all,900,81,0.8132401255506168,0.9266444273490672,0.18457777777777779,0.402812350809031,0.6935332708528584,0.7317355173631704,0.5449189985272459,0.918552036199095,0.9536082474226805,0.2544040075852444,0.8647214854111406,0.5796653316362231,0.9602356406480118,0.19909502262443438,0.7864897466827503,0.402812350809031,0.6935332708528584,0.7317355173631704,0.5449189985272459,0.918552036199095,0.9536082474226805,0.402812350809031,0.6935332708528584,0.7317355173631704,0.5449189985272459,0.918552036199095,0.9536082474226805
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,knn_all,knn,all,900,81,0.8086552622635097,0.916795119896763,0.1952,0.4660387224124988,0.7760416666666666,0.7703370007796932,0.658321060382916,0.8823529411764706,0.945031712473573,0.337970205092056,0.8599439775910365,0.6467056291192131,0.9042709867452136,0.3891402714932127,0.8197596795727636,0.4660387224124988,0.7760416666666666,0.7703370007796932,0.658321060382916,0.8823529411764706,0.945031712473573,0.4660387224124988,0.7760416666666666,0.7703370007796932,0.658321060382916,0.8823529411764706,0.945031712473573
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,knn_all,knn,all,900,80,0.825525293384602,0.9365295851985227,0.17092345679012347,0.45186134878345485,0.7857142857142857,0.7610206652050193,0.6804123711340206,0.8416289592760181,0.9295774647887324,0.3192132726738745,0.8761408083441982,0.5808182115034753,0.9896907216494846,0.17194570135746606,0.7859649122807018,0.45186134878345485,0.7857142857142857,0.7610206652050193,0.6804123711340206,0.8416289592760181,0.9295774647887324,0.45186134878345485,0.7857142857142857,0.7610206652050193,0.6804123711340206,0.8416289592760181,0.9295774647887324
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,knn_all,knn,all,900,81,0.8345117587082413,0.9326753758849408,0.18271111111111113,0.4684360551243444,0.7705779334500875,0.7719696919211777,0.6480117820324006,0.8959276018099548,0.9503239740820735,0.3240197788235532,0.8593314763231198,0.6376025429997534,0.9086892488954345,0.3665158371040724,0.8150594451783355,0.4684360551243444,0.7705779334500875,0.7719696919211777,0.6480117820324006,0.8959276018099548,0.9503239740820735,0.4684360551243444,0.7705779334500875,0.7719696919211777,0.6480117820324006,0.8959276018099548,0.9503239740820735
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,knn_all,knn,all,872,20,0.6940180759803921,0.8887062930418884,0.1976892776758052,0.22209823783876761,0.8214285714285714,0.6142156862745098,0.8117647058823529,0.4166666666666667,0.8313253012048193,0.16929526372537967,0.8802588996763754,0.5182291666666666,1.0,0.036458333333333336,0.7861271676300579,0.21497643563815255,0.817910447761194,0.6112745098039216,0.8058823529411765,0.4166666666666667,0.8303030303030303,0.21497643563815255,0.817910447761194,0.6112745098039216,0.8058823529411765,0.4166666666666667,0.8303030303030303
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,knn_all,knn,all,1017,13,0.5927604686185921,0.806465916523534,0.2587091119382555,0.1437780944905621,0.6624902114330462,0.5807149562870386,0.5708502024291497,0.5905797101449275,0.789179104477612,0.14589955703455476,0.8468571428571429,0.5144927536231884,1.0,0.028985507246376812,0.734390485629336,0.1437780944905621,0.6624902114330462,0.5807149562870386,0.5708502024291497,0.5905797101449275,0.789179104477612,0.1437780944905621,0.6624902114330462,0.5807149562870386,0.5708502024291497,0.5905797101449275,0.789179104477612
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,knn_all,knn,all,886,19,0.700676246830093,0.8740651149894503,0.20875036392247973,0.21231189860594574,0.6412639405204461,0.6242251338405185,0.5103550295857988,0.7380952380952381,0.8625,0.07588041018513056,0.8654217643271088,0.508946182023105,0.9940828402366864,0.023809523809523808,0.766248574686431,0.21231189860594574,0.6412639405204461,0.6242251338405185,0.5103550295857988,0.7380952380952381,0.8625,0.21231189860594574,0.6412639405204461,0.6242251338405185,0.5103550295857988,0.7380952380952381,0.8625
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,knn_all,knn,all,847,19,0.47919427700112577,0.7402798060302096,0.3414233512902469,-0.2052713114286579,0.7056986729117877,0.4037521553873997,0.7278582930756844,0.07964601769911504,0.6848484848484848,0.0,0.8460490463215259,0.5,1.0,0.0,0.7331759149940968,-0.2052713114286579,0.7056986729117877,0.4037521553873997,0.7278582930756844,0.07964601769911504,0.6848484848484848,-0.2052713114286579,0.7056986729117877,0.4037521553873997,0.7278582930756844,0.07964601769911504,0.6848484848484848
extrapolation_grouped__seed-42__fold-4,extrapolation_grouped,42,4,knn_all,knn,all,879,15,0.5614662674826457,0.8002760769469025,0.32637277255271235,0.06719861630610482,0.5359605911330049,0.5388984282129177,0.40117994100294985,0.6766169154228856,0.8071216617210683,0.0,0.8709055876685935,0.5,1.0,0.0,0.7713310580204779,0.06719861630610482,0.5359605911330049,0.5388984282129177,0.40117994100294985,0.6766169154228856,0.8071216617210683,0.06719861630610482,0.5359605911330049,0.5388984282129177,0.40117994100294985,0.6766169154228856,0.8071216617210683
interpolation_holdout__seed-43__fold-0,interpolation_holdout,43,0,knn_all,knn,all,901,83,0.816475911631621,0.9313182363807107,0.18447267096915634,0.456662755572549,0.8072487644151565,0.7607466063348416,0.7205882352941176,0.8009049773755657,0.9176029962546817,0.19614282305218636,0.858085808580858,0.5593891402714932,0.9558823529411765,0.16289592760180996,0.7784431137724551,0.456662755572549,0.8072487644151565,0.7607466063348416,0.7205882352941176,0.8009049773755657,0.9176029962546817,0.456662755572549,0.8072487644151565,0.7607466063348416,0.7205882352941176,0.8009049773755657,0.9176029962546817
