model_id,model_family,feature_set,protocol,fold_count,sample_count,paper_count_sum,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,mcc_at_mcc_mean,mcc_at_mcc_std,f1_at_mcc_mean,f1_at_mcc_std,balanced_accuracy_at_mcc_mean,balanced_accuracy_at_mcc_std,sensitivity_at_mcc_mean,sensitivity_at_mcc_std,specificity_at_mcc_mean,specificity_at_mcc_std,precision_at_mcc_mean,precision_at_mcc_std,mcc_at_f1_mean,mcc_at_f1_std,f1_at_f1_mean,f1_at_f1_std,balanced_accuracy_at_f1_mean,balanced_accuracy_at_f1_std,sensitivity_at_f1_mean,sensitivity_at_f1_std,specificity_at_f1_mean,specificity_at_f1_std,precision_at_f1_mean,precision_at_f1_std,mcc_at_balanced_accuracy_mean,mcc_at_balanced_accuracy_std,f1_at_balanced_accuracy_mean,f1_at_balanced_accuracy_std,balanced_accuracy_at_balanced_accuracy_mean,balanced_accuracy_at_balanced_accuracy_std,sensitivity_at_balanced_accuracy_mean,sensitivity_at_balanced_accuracy_std,specificity_at_balanced_accuracy_mean,specificity_at_balanced_accuracy_std,precision_at_balanced_accuracy_mean,precision_at_balanced_accuracy_std,mcc_at_youden_j_mean,mcc_at_youden_j_std,f1_at_youden_j_mean,f1_at_youden_j_std,balanced_accuracy_at_youden_j_mean,balanced_accuracy_at_youden_j_std,sensitivity_at_youden_j_mean,sensitivity_at_youden_j_std,specificity_at_youden_j_mean,specificity_at_youden_j_std,precision_at_youden_j_mean,precision_at_youden_j_std
mlp_all,mlp,all,extrapolation_grouped,15,13503,258,0.6799802427964842,0.05663429037271068,0.8667855301602557,0.02947592157037812,0.23701688945293425,0.03783883244668685,0.19534485006082586,0.10548643073531104,0.6423619550315152,0.1627602987980461,0.6049262309133527,0.05968562890129948,0.5586468128290986,0.22237054073013163,0.6512056489976067,0.25668805066112804,0.850429014978782,0.05581078940439168,-0.0015629011426638523,0.028097758668301453,0.8595788267567721,0.015499894271162055,0.4993053302328935,0.003438810390283591,0.9982789855072464,0.006665460469016381,0.0003316749585406302,0.001284571590781896,0.7549330075960106,0.021862338090477364,0.20780509521090726,0.1009518227637736,0.6387458894501333,0.1260205968330399,0.6157368562598763,0.057093448686522504,0.5314418192942117,0.1591255590588229,0.700031893225541,0.1692352677339333,0.8543188600347668,0.046560562672492214,0.20780509521090726,0.1009518227637736,0.6387458894501333,0.1260205968330399,0.6157368562598763,0.057093448686522504,0.5314418192942117,0.1591255590588229,0.700031893225541,0.1692352677339333,0.8543188600347668,0.046560562672492214
mlp_all,mlp,all,interpolation_holdout,3,2703,247,0.8727597373791145,0.012996755024899609,0.9580905285585611,0.004247039328472306,0.14939862986405691,0.009657551197199656,0.5328629191365256,0.03964244986014523,0.8205403911101777,0.01211811880301888,0.8054864253393665,0.02837253138967831,0.721078431372549,0.0403898961864991,0.8898944193061841,0.09708316767272457,0.9549700923035273,0.03553875459434239,0.40767037200987416,0.05368682059084912,0.8733337166121798,0.0073849085688791226,0.6782993966817497,0.03864344846251464,0.9161764705882353,0.028629297549899707,0.440422322775264,0.1012132673894879,0.8351028664787489,0.02104442251820605,0.5330264462287931,0.039362033506410564,0.8201407108543824,0.011425895073142652,0.8057503770739064,0.02791874530882499,0.7200980392156863,0.0386944526899331,0.8914027149321267,0.09448241184534437,0.9554058651425462,0.03478871226859024,0.5330264462287931,0.039362033506410564,0.8201407108543824,0.011425895073142652,0.8057503770739064,0.02791874530882499,0.7200980392156863,0.0386944526899331,0.8914027149321267,0.09448241184534437,0.9554058651425462,0.03478871226859024
mlp_all,mlp,all,interpolation_stratified,15,13503,1215,0.8786351998932708,0.011951755908887694,0.9575132678932798,0.006094072808667496,0.14660061697165172,0.01191430563362223,0.5480536665142016,0.025005312249223522,0.8369127191505118,0.014598570034003094,0.8119117647058826,0.014410203742062814,0.749313725490196,0.027416770147082062,0.8745098039215687,0.03860260326862597,0.9488044103569424,0.014225728308924603,0.41812216442841554,0.06630804138735043,0.8801597900986394,0.007959830554233077,0.6726624527685775,0.0450978715224634,0.937180109157065,0.02177772129361888,0.40814479638009055,0.10776181533568722,0.8305284664457787,0.022949736256107814,0.5446314362276864,0.02285766897653992,0.8185509983196085,0.018004375231560475,0.8136155167856202,0.013054817368173538,0.7126005659995956,0.03130535398141194,0.9146304675716441,0.03483477239540774,0.9629958768627074,0.013210511729618478,0.5446314362276864,0.02285766897653992,0.8185509983196085,0.018004375231560475,0.8136155167856202,0.013054817368173538,0.7126005659995956,0.03130535398141194,0.9146304675716441,0.03483477239540774,0.9629958768627074,0.013210511729618478
mlp_all,mlp,all,lopo,86,4501,86,0.7097089010960413,0.1893951600134546,0.8395377005571291,0.1585304932921112,0.13712097333305057,0.1374521721216537,0.07250271112148586,0.19106171222650142,0.7153452395575312,0.3584532242729546,0.6824011452285735,0.2815085663302113,0.7102102214599602,0.3779311880373754,0.5146773937663743,0.40439746606185006,0.9018278718541833,0.15978894625823534,-0.002948589427955182,0.027344093454708264,0.9035830736754434,0.1317260793315965,0.7362799636928747,0.25276316525561604,0.9962747376672672,0.030538091676955058,0.0,0.0,0.8498167513539959,0.19451969360063165,0.06266669960056434,0.15758062682769197,0.7056365035673171,0.3562939821324703,0.6908746989212149,0.27477020238438826,0.691487457733646,0.3802486215342756,0.56544917675921,0.418437612409234,0.9075387557658653,0.16001635767979328,0.06266669960056434,0.15758062682769197,0.7056365035673171,0.3562939821324703,0.6908746989212149,0.27477020238438826,0.691487457733646,0.3802486215342756,0.56544917675921,0.418437612409234,0.9075387557658653,0.16001635767979328
mlp_physics,mlp,physics,extrapolation_grouped,15,13503,258,0.692088168685552,0.057200717922397816,0.863304424651968,0.0370557894710914,0.23653331001599628,0.041838355992264084,0.2545702637289848,0.09770153678822185,0.7181716682919301,0.07183897117068505,0.6439910332245146,0.05554548200147124,0.6283377176819623,0.10767231795891767,0.6596443487670665,0.1417903457409371,0.8550073766660394,0.04137643627042253,-0.0030880132188896956,0.05536717900565298,0.8578020251935049,0.014878076753743932,0.5025543372138874,0.017079927855626925,0.9920502551837888,0.019119540897160274,0.013058419243986255,0.05057504025975321,0.7561487829575897,0.024877408043381934,0.25418059795577436,0.10243331574284513,0.6929468702012758,0.07209026793129282,0.6452373145455063,0.05755365396038755,0.5866026178237357,0.10054502386220121,0.7038720112672769,0.11642711575946223,0.8618127936290718,0.038241223666717,0.25418059795577436,0.10243331574284513,0.6929468702012758,0.07209026793129282,0.6452373145455063,0.05755365396038755,0.5866026178237357,0.10054502386220121,0.7038720112672769,0.11642711575946223,0.8618127936290718,0.038241223666717
mlp_physics,mlp,physics,interpolation_holdout,3,2703,247,0.8437039748025907,0.0042785482803416736,0.9470342087837582,0.000955876789057895,0.17149317264556885,0.005221375741639641,0.4819580035240452,0.011079240997664256,0.8015565058958415,0.01690944828086714,0.7773378582202112,0.004193665386210238,0.7009803921568628,0.02975292334410496,0.8536953242835595,0.02232073693355773,0.9366844754048823,0.006426178752473374,0.3279196587912792,0.02987016290617824,0.8666362568631745,0.010552327795148883,0.622473604826546,0.037916070376715585,0.9372549019607844,0.05028752393424377,0.3076923076923077,0.1254789558720547,0.80750049299407,0.021035959372990257,0.4744920617065523,0.004091420441908506,0.7835173441862038,0.008908489728896584,0.7749811463046757,0.0018067113662228863,0.6691176470588235,0.01492484053690033,0.8808446455505279,0.011387382255310342,0.9453568540496092,0.0037741584570471845,0.4744920617065523,0.004091420441908506,0.7835173441862038,0.008908489728896584,0.7749811463046757,0.0018067113662228863,0.6691176470588235,0.01492484053690033,0.8808446455505279,0.011387382255310342,0.9453568540496092,0.0037741584570471845
mlp_physics,mlp,physics,interpolation_stratified,15,13503,1215,0.8572226888142953,0.013917319310319748,0.9496598450881814,0.0069121294428119975,0.16002058784166973,0.012791346654383183,0.4999395099536759,0.030261550501538798,0.8176227301898268,0.024954517311922036,0.7840124439942514,0.021307269526924077,0.7291108608391812,0.05155150668574003,0.8389140271493215,0.08006803449513651,0.9351484436737453,0.026595242529269814,0.3650299357221119,0.05013249131545669,0.87440229052692,0.0044552864367873295,0.6395325782969808,0.036398093358303595,0.9451285050102516,0.020454938417401813,0.33393665158371044,0.09148140257289646,0.8141676361004839,0.01809796937217561,0.5020171475777242,0.02783691396719664,0.8054501407435962,0.02035394613830335,0.7884538081687872,0.017776718713385414,0.7026994715411937,0.03972146420374903,0.8742081447963803,0.06190525314324592,0.9464743809243141,0.022976606515329248,0.5020171475777242,0.02783691396719664,0.8054501407435962,0.02035394613830335,0.7884538081687872,0.017776718713385414,0.7026994715411937,0.03972146420374903,0.8742081447963803,0.06190525314324592,0.9464743809243141,0.022976606515329248
mlp_physics,mlp,physics,lopo,86,4501,86,0.6860862655491056,0.1909301067392646,0.8126201341722362,0.18751573637916505,0.176779944824107,0.1727676277133358,0.07133387855236563,0.1798669662473471,0.7420089157607019,0.30780557880972903,0.6997005025125195,0.26204131866811586,0.7423491022657703,0.33932187189234825,0.4908301008368828,0.3767737727978425,0.8776117729483831,0.1865984793598199,0.006410256410256411,0.05944627240702374,0.9060442114590554,0.13061819281879067,0.741577221228384,0.24987188121359227,0.9986583184257604,0.012442243061935207,0.014814814814814814,0.09938079899999067,0.8520812627317041,0.1940289827441995,0.07888235833619231,0.15747724600866822,0.7335422470695256,0.30943158397747195,0.6969374910465895,0.2634584310029687,0.7232380627102286,0.33762378732270243,0.5394619530039881,0.3714837327047591,0.8860433490601373,0.17860716000015567,0.07888235833619231,0.15747724600866822,0.7335422470695256,0.30943158397747195,0.6969374910465895,0.2634584310029687,0.7232380627102286,0.33762378732270243,0.5394619530039881,0.3714837327047591,0.8860433490601373,0.17860716000015567
