protocol,model_a,model_b,paired_fold_count,delta_roc_auc,wilcoxon_p_roc_auc,delta_pr_auc,wilcoxon_p_pr_auc,delta_brier,wilcoxon_p_brier,delta_mcc_at_mcc,wilcoxon_p_mcc_at_mcc,delta_f1_at_f1,wilcoxon_p_f1_at_f1,delta_balanced_accuracy_at_balanced_accuracy,wilcoxon_p_balanced_accuracy_at_balanced_accuracy,caveat
extrapolation_grouped,mlp_all,mlp_physics,15,-0.012107925889067646,0.7197265625,0.0034811055082877664,0.890380859375,0.00048357943693796794,0.638671875,-0.059225413668158894,0.063720703125,0.0017768015632673754,0.017960477526078766,-0.029500458285629895,0.05535888671875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,mlp_all,mlp_physics,3,0.029055762576523758,0.25,0.011056319774802925,0.25,-0.022094542781511944,0.25,0.050904915612480416,0.25,0.006697459749005301,1.0,0.030769230769230733,0.5,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,mlp_all,mlp_physics,15,0.021412511078975564,6.103515625e-05,0.00785342280509845,6.103515625e-05,-0.013419970870018005,0.00201416015625,0.048114156560525735,0.00042724609375,0.005757499571719627,0.03533935546875,0.025161708616832913,0.0008544921875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,mlp_all,mlp_physics,86,0.023622635546935774,0.384844599148347,0.026917566384892705,0.1558506747431144,-0.039658971491056426,0.019716618558132896,0.0011688325691202271,0.9087193754183003,-0.0024611377836118533,0.10880943004054568,-0.006062792125374654,0.8366166710996888,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
