feature,importance_mean,importance_std,held_out_roc_auc
fuel_pyrolysis_t_k,0.06413539252391989,0.003787693117734541,0.7371634872526297
ignition_time_s,0.04404157009567958,0.006395737057097997,0.7371634872526297
sample_dim_3_m,0.03176015481072088,0.003501055825501485,0.7371634872526297
fuel_cp_j_kgk,0.028922639210792172,0.0020851557434247003,0.7371634872526297
flow_speed_abs_m_s,0.014893289059250026,0.005538101123129907,0.7371634872526297
thermal_diffusion_time_s,0.014884746241160058,0.0019341698298893093,0.7371634872526297
peclet,0.011291005526831882,0.0017867674349659661,0.7371634872526297
fuel_alpha_m2_s,0.00851886105663519,0.0015572711072792474,0.7371634872526297
half_thickness_m,0.006375170856361806,0.0013232833053885451,0.7371634872526297
gravity_g,0.0046537930112319605,0.003485392941938493,0.7371634872526297
fuel_density_kg_m3,0.004611821774529045,0.0008068523812824737,0.7371634872526297
core_cp_j_kgk,0.004539579247637737,0.0006633727523515907,0.7371634872526297
gravity_regime_cat,0.002946900814167702,0.0010349200065193603,0.7371634872526297
sample_dim_2_m,0.0028655583288762164,0.0011190322469323457,0.7371634872526297
geometry_cat,0.0020617905746716458,0.00022211497022698963,0.7371634872526297
core_density_kg_m3,0.0011785374695430062,0.000547516207371001,0.7371634872526297
fuel_k_w_mk,0.0011482661793546067,0.0006891221408101062,0.7371634872526297
core_k_w_mk,0.0008466675580911631,0.00015961339350348573,0.7371634872526297
ignition_power_w,0.000530769002198822,0.00028946197654920107,0.7371634872526297
diluent_cat,0.0,0.0,0.7371634872526297
ignition_method_cat,-0.0003554555179176355,0.0006831928408442713,0.7371634872526297
core_volumetric_heat_capacity_j_m3k,-0.0007356109229215091,0.00027879155483601824,0.7371634872526297
pressure_pa,-0.0007439680275747318,0.0006340158756540865,0.7371634872526297
reynolds,-0.001080480774945014,0.004118512204998062,0.7371634872526297
oxygen,-0.0011114949188803958,0.011775852345602498,0.7371634872526297
flow_direction_cat,-0.001195808819159705,0.0003184401345248644,0.7371634872526297
gas_nu_m2_s,-0.0014238649194746543,0.0005534939660528516,0.7371634872526297
characteristic_length_m,-0.0021754471979556433,0.0010492627353174363,0.7371634872526297
gas_k_w_mk,-0.0034262271943899525,0.0017349761826184339,0.7371634872526297
fuel_volumetric_heat_capacity_j_m3k,-0.00421142360492065,0.0009776660845486574,0.7371634872526297
gas_alpha_m2_s,-0.0055626745706304995,0.0013931743485054201,0.7371634872526297
gas_cp_j_kgk,-0.007086824745943987,0.0017982141026365768,0.7371634872526297
gas_density_kg_m3,-0.007887249658287271,0.0038002905942989113,0.7371634872526297
sample_dim_1_m,-0.009683470018422773,0.0015878889926308635,0.7371634872526297
flow_velocity_m_s,-0.010237824627087416,0.0034273655057348047,0.7371634872526297
gas_molar_mass,-0.012383557675164908,0.004522021204159,0.7371634872526297
prandtl,-0.03837248172579781,0.0069663266160106575,0.7371634872526297
