configuration_id,inner_fold,parameters,roc_auc,pr_auc,brier,mcc,f1,balanced_accuracy,sensitivity,specificity,precision,candidate_id,model_id,model_family,protocol,split_id
0,0,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.7848171671239055,0.9081586476616372,0.18503014743328094,0.3458310573911934,0.8517520215633423,0.6616445563531136,0.8758314855875832,0.44745762711864406,0.8289611752360966,mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
0,1,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8425890311778813,0.9437721517364448,0.17073442041873932,0.4253396940463875,0.8660130718954249,0.7042928035959395,0.8813747228381374,0.5272108843537415,0.8511777301927195,mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
0,2,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8383203614039851,0.9416776244848002,0.17215986549854279,0.4184736721501725,0.8577753182069728,0.7085124515438104,0.8592017738359202,0.5578231292517006,0.856353591160221,mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
0,mean,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8219088532352572,0.9312028079609608,0.17597481111685434,0.3965481411959178,0.8585134705552466,0.6914832704976211,0.8721359940872137,0.5108305469080288,0.8454974988630123,mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,0,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8081100379570821,0.9247442096694678,0.15768694877624512,0.39868780302045603,0.8562019758507134,0.6950843699500169,0.8647450110864745,0.5254237288135594,0.8478260869565217,mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,1,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8313536057438498,0.9394196493981737,0.15025782585144043,0.390845713709196,0.8544755628775398,0.6914679397257795,0.8625277161862528,0.5204081632653061,0.8465723612622416,mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,2,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8377886631370952,0.9391994826186592,0.14516054093837738,0.4047684069525193,0.8693333333333333,0.6830663529269801,0.9035476718403548,0.46258503401360546,0.8376156217882836,mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,mean,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.825750768946009,0.9344544472287669,0.15103510518868765,0.3981006412273904,0.8600036240205288,0.6898728875342588,0.876940133037694,0.5028056420308237,0.844004690002349,mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
2,0,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.8083599533992258,0.919376123890276,0.18805710971355438,0.4338767253737429,0.8519774011299435,0.7247397497087451,0.835920177383592,0.6135593220338983,0.868663594470046,mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
2,1,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.8351622245350467,0.9350021691403605,0.17280256748199463,0.421406100684154,0.8615384615384616,0.706698643980874,0.8691796008869179,0.54421768707483,0.8540305010893247,mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
2,2,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.8336859133897461,0.9349313944362247,0.17308449745178223,0.40701486751873545,0.8624252311038608,0.6946807547852845,0.8791574279379157,0.5102040816326531,0.8463180362860192,mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
2,mean,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.8257360304413396,0.9297698958222872,0.1779813915491104,0.42076589785887747,0.8586470312574219,0.7087063828249679,0.8614190687361418,0.5559936969137937,0.8563373772817967,mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
3,0,"{""activation"": ""relu"", ""alpha"": 0.1, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.7358713217332481,0.893064325256824,0.17180278897285461,0.0,0.859456884230586,0.5,1.0,0.0,0.7535505430242272,mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
