candidate_id,model_id,model_family,protocol,split_id,seed,fold,paper_id,roc_auc,pr_auc,brier,mcc,f1,balanced_accuracy,sensitivity,specificity,precision
mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s10694-019-00880-2,0.41456016177957533,0.32319427841622506,0.3019626068280348,-0.042720906289262346,0.2564102564102564,0.480788675429727,0.21739130434782608,0.7441860465116279,0.3125
mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s12217-018-9655-0,0.9473684210526315,0.9892934089609986,0.06345722815779375,0.6725927091345493,0.95,0.75,1.0,0.5,0.9047619047619048
mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::urban david et al solid fuel ignition testing for lunar applications theory and experimental results,0.4070175438596491,0.49614149666503143,0.3229956818219107,-0.14159846508095775,0.5128205128205128,0.4298245614035088,0.5263157894736842,0.3333333333333333,0.5
mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/s1540-7489(02)80314-5,0.9375,0.9882506127450981,0.08291668060523649,0.7921180343813395,0.9696969696969697,0.8333333333333333,1.0,0.6666666666666666,0.9411764705882353
mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s12217-024-10106-y,,,7.630855653850688e-05,0.0,1.0,1.0,1.0,,1.0
mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::mitsui fumiya et al effect of the ignition method on the extinction limit for a flame spreading over electric wire insulation 47th international conference on environmental systems 16 20 july 2017 charleston sc usa 2017,0.6,0.6533333333333333,0.31394341838812656,0.14907119849998599,0.6153846153846154,0.5666666666666667,0.8,0.3333333333333333,0.5
mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1038/s41598-017-18398-4,0.875,0.9687259320057308,0.08256807968952644,0.0,0.9090909090909091,0.5,1.0,0.0,0.8333333333333334
mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s12217-022-09945-4,,,4.0404302126262334e-11,0.0,1.0,1.0,1.0,,1.0
mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.actaastro.2019.01.044,1.0,1.0,0.022567556297530895,1.0,1.0,1.0,1.0,1.0,1.0
mlp_focal_inverse,mlp_focal_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::son youngjin paul d ronney and suleyman gokoglu comparison of carbon dioxide and helium as fire extinguishing agents for spacecraft nasa cp 2004 213205 vol2 2004 pp 409 418,0.8947368421052632,0.9945983379501384,0.09519818673687644,-0.07647191129018725,0.918918918918919,0.4473684210526316,0.8947368421052632,0.0,0.9444444444444444
