configuration_id,inner_fold,parameters,roc_auc,pr_auc,brier,mcc,f1,balanced_accuracy,sensitivity,specificity,precision,candidate_id,model_id,model_family,protocol,split_id
0,0,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8170130407005147,0.9226838433055629,0.15935973823070526,0.3722787982882664,0.8685175484546883,0.6578394528167162,0.9190687361419069,0.39661016949152544,0.8232373386295928,mlp_baseline,mlp_baseline,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
0,1,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.868481982593481,0.9548387584995217,0.13845334947109222,0.4800217620167318,0.8743109151047409,0.7371977615880054,0.8791574279379157,0.5952380952380952,0.8695175438596491,mlp_baseline,mlp_baseline,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
0,2,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8470104227943949,0.9394928774265884,0.1565762758255005,0.47475071109913564,0.863431151241535,0.7454862210959772,0.8481152993348116,0.6428571428571429,0.8793103448275862,mlp_baseline,mlp_baseline,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
0,mean,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8441684820294636,0.939005159743891,0.151463121175766,0.44235042380137796,0.8687532049336548,0.7135078118335662,0.8821138211382115,0.5449018025289213,0.8573550757722761,mlp_baseline,mlp_baseline,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,0,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8148878199105566,0.9238311544060931,0.14629866182804108,0.41112327451821834,0.8721485411140584,0.682772746063362,0.9113082039911308,0.4542372881355932,0.8362156663275687,mlp_baseline,mlp_baseline,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,1,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8396684616196811,0.9447828802330112,0.14212600886821747,0.3894366419786007,0.8603896103896104,0.6838846403306333,0.8813747228381374,0.48639455782312924,0.8403805496828752,mlp_baseline,mlp_baseline,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,2,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8416500746640119,0.9396600502802646,0.1381673812866211,0.428830670037409,0.8672470076169749,0.7054014510460503,0.8835920177383592,0.5272108843537415,0.8514957264957265,mlp_baseline,mlp_baseline,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,mean,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8320687853980832,0.9360913616397896,0.14219735066095987,0.40979686217807604,0.8665950530402146,0.690686279146682,0.892091648189209,0.48928091010415464,0.8426973141687234,mlp_baseline,mlp_baseline,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
2,0,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.8359615167800368,0.930052251585614,0.15826770663261414,0.4425405811586001,0.8633093525179856,0.7205080987635762,0.8647450110864745,0.576271186440678,0.861878453038674,mlp_baseline,mlp_baseline,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
2,1,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.870084619213539,0.9552103153765774,0.1496542990207672,0.5059146811953326,0.8753493571827837,0.7571647284190839,0.8680709534368071,0.6462585034013606,0.882750845546787,mlp_baseline,mlp_baseline,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
2,2,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.8434921640496553,0.937259121687714,0.16077090799808502,0.44624065747787334,0.8585858585858586,0.7284794183748888,0.8481152993348116,0.608843537414966,0.8693181818181818,mlp_baseline,mlp_baseline,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
