protocol,augmentation,model_a,model_b,paired_fold_count,delta_RMSE,wilcoxon_p_RMSE,delta_MAE,wilcoxon_p_MAE,delta_R2,wilcoxon_p_R2,caveat
extrapolation_grouped,rd,knn_distance_inverse,knn_uniform,10,-0.0002779035931389104,0.921875,-6.232519796424002e-05,0.6953125,-0.016045203879863208,0.845703125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,knn_uniform_inverse,10,0.0,1.0,0.0,1.0,0.0,1.0,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,knn_uniform_sqrt,10,-0.0009254060533239999,0.4921875,-0.00025706369866974,0.4921875,0.1480466213491712,0.625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,mlp_log_target_inverse,10,-0.007159672493018629,0.10546875,-0.005588803742337961,0.001953125,1.5372442516864033,0.130859375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,mlp_log_target_sqrt,10,-0.00616897308004172,0.009765625,-0.0033325315076371703,0.001953125,1.0045313358183372,0.009765625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,rf_baseline,10,0.0020864682512436,0.10546875,0.00136156912984908,0.009765625,-0.2528940407211512,0.10546875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,rf_paper_inverse,10,0.0009311038765167301,0.625,0.00115111662905333,0.00390625,-0.12713060212781674,0.625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,rf_paper_sqrt,10,0.00145679267449841,0.322265625,0.00120675366725267,0.009765625,-0.19809627681082337,0.193359375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,svr_linear,10,-0.0066536424452003,0.02734375,-0.00375638038434862,0.00390625,1.228788873389806,0.037109375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,svr_rbf,10,-0.0018448200980833405,0.193359375,-0.00328211225777445,0.00390625,0.15420324219476897,0.232421875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,svr_rbf_inverse,10,-0.0013126132675438699,0.130859375,-0.00380214818717972,0.001953125,0.08929075654296363,0.232421875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,svr_rbf_sqrt,10,-0.00103951654815871,0.275390625,-0.00275859362555424,0.001953125,0.04746625593544171,0.275390625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,xgb_absoluteerror_inverse,10,0.00155205983571714,0.064453125,0.0010465938605676898,0.009765625,-0.19914285414958544,0.048828125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,xgb_absoluteerror_sqrt,10,0.00159179290207242,0.193359375,0.0010989512001784102,0.005859375,-0.20812556866168191,0.16015625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,xgb_baseline,10,0.0013456630569158702,0.375,0.0007209705583116201,0.083984375,-0.191661907333672,0.232421875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,xgb_log_target_inverse,10,0.0001739354811499002,0.6953125,0.0002412314083217799,0.556640625,-0.06350364339542973,0.6953125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
