split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,rf_log_target_inverse,random_forest,all,2024,507,65,60,0.7374944317135657,0.008638278213264221,0.0022304532947145616,75.46573064851245,0.0004988233386935064,1.0115640585662586,0.8631245059534003,0.006203972684758486,0.0021931292872704447,88.3630185321553,-8.926191754401463e-05,0.7024468778899001,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 200}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,rf_log_target_inverse,random_forest,all,3024,507,65,60,0.7425625742748307,0.00855448303198686,0.002080116554854272,69.84149587539024,0.0005295918923320527,1.0017514325349428,0.8631245059534003,0.006203972684758486,0.0021931292872704447,88.3630185321553,-8.926191754401463e-05,0.7024468778899001,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 200}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,rf_log_target_inverse,random_forest,all,2005,526,52,14,-0.028190272821793982,0.012100397583400205,0.005737242168667078,192.80019188126292,0.0010781013959216279,1.5250750289613626,-0.43522281303787,0.01324927106693049,0.006024756259957279,271.8163173360696,0.0005919294047720908,1.4236992736345833,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 300}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,rf_log_target_inverse,random_forest,all,3005,526,52,14,-0.05281473132643266,0.012244438416738215,0.00603081624201764,198.73246588723342,0.0014405910205544342,1.5432292322890233,-0.43522281303787,0.01324927106693049,0.006024756259957279,271.8163173360696,0.0005919294047720908,1.4236992736345833,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 300}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,rf_log_target_inverse,random_forest,all,2024,507,65,61,0.8661196980444679,0.006183482868913303,0.0019554315080902583,57.35699052220687,-7.257203964650987e-05,0.7146074625236593,0.815291315680005,0.007091818878769436,0.002130195162520679,76.86514229802569,-0.00019144900766065402,0.811654636325714,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,rf_log_target_inverse,random_forest,all,3024,507,65,61,0.8532136637014031,0.006474669962839251,0.0020001764948465706,48.13618941136346,-3.236428225891405e-05,0.748259123686364,0.815291315680005,0.007091818878769436,0.002130195162520679,76.86514229802569,-0.00019144900766065402,0.811654636325714,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,rf_log_target_inverse,random_forest,all,1954,577,52,14,0.464112178174406,0.013177684128358031,0.003758415830725971,143.98645879442776,0.00036554959884191074,1.5374040309972088,0.42401955790231216,0.012046821991522906,0.00523675309182039,391.18983298523744,-0.0008028939166863549,1.41897525565055,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,rf_log_target_inverse,random_forest,all,2954,577,52,14,0.4467456908139613,0.013389505931473958,0.003853553142149142,154.60479579992497,0.00017333889185816527,1.5621166960445307,0.42401955790231216,0.012046821991522906,0.00523675309182039,391.18983298523744,-0.0008028939166863549,1.41897525565055,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,rf_log_target_inverse,random_forest,all,2024,507,66,61,0.8626221919845475,0.006517633251570338,0.0021622092927511194,82.935321202266,0.0005380582784370078,0.7145924961660992,0.8310325052260754,0.006900867840048615,0.0021858829714106846,76.1654693510371,2.111674231981644e-05,0.7901338497081489,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,rf_log_target_inverse,random_forest,all,3024,507,66,61,0.8445953899282745,0.006932080169830348,0.0021815874681465623,65.19065907637007,0.0005378391684306846,0.7600324045525387,0.8310325052260754,0.006900867840048615,0.0021858829714106846,76.1654693510371,2.111674231981644e-05,0.7901338497081489,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}"
